date,Electricity import (GWh),Electricity generated from natural gas GWh,Total electricity generated GWh,Fraction of electricity generated by gas,Gas produced Mm3,Gas consumed Mm3,Gas exported Mm3,Gas imported Mm3,Total Gas Stocks Mm3,Average Temperature (°C),to Albania,to Austria,to Slovenia,to Switzerland,from Albania,from Austria,from Croatia,from Libya,from Liquefied Natural Gas,from Slovenia,from Switzerland,from Tunisia
2008-10-01,3094.0,,,,,4226.322588418379,7.0,6070.0,18368.738095238095,15.735498655913975,0.0,0.0,1.0,6.0,0.0,1615.0,54.0,822.0,94.0,0.0,1475.0,2010.0
2008-11-01,3855.0,,,,,6166.022083219014,11.0,6321.0,17954.166666666668,10.015147222222222,0.0,0.0,2.0,9.0,0.0,1972.0,46.0,949.0,158.0,0.0,1298.0,1898.0
2008-12-01,4079.0,,,,,7698.309093945632,16.0,7234.0,16923.666666666664,5.5220295698924735,0.0,0.0,3.0,13.0,0.0,2448.0,53.0,957.0,92.0,0.0,1298.0,2386.0
2009-01-01,4026.0,,,,,7687.960403078307,19.0,6652.0,14249.404761904761,4.444231182795699,0.0,0.0,5.0,14.0,0.0,1310.0,62.0,970.0,167.0,7.0,1573.0,2563.0
2009-02-01,4234.0,,,,,6436.586781405875,39.0,5905.0,12243.714285714286,4.60859375,0.0,0.0,28.0,11.0,0.0,1565.0,61.0,747.0,87.0,7.0,1136.0,2302.0
2009-03-01,4758.0,,,,,4888.01959804925,11.0,5397.0,11079.857142857141,8.233443548387097,0.0,0.0,2.0,9.0,0.0,1357.0,68.0,783.0,77.0,12.0,1015.0,2085.0
2009-04-01,4087.0,,,,,3547.4387647419617,0.0,4437.0,12128.499999999998,12.810116666666666,0.0,0.0,0.0,0.0,0.0,1531.0,66.0,0.0,0.0,0.0,753.0,2087.0
2009-05-01,3894.0,,,,,3330.237461837255,0.0,4281.0,13779.5,18.42204435483871,0.0,0.0,0.0,0.0,0.0,2116.0,68.0,0.0,0.0,0.0,740.0,1357.0
2009-06-01,3873.0,,,,,3319.9122743056205,0.0,3356.0,15287.166666666666,20.64664305555556,0.0,0.0,0.0,0.0,0.0,1768.0,71.0,0.0,0.0,0.0,0.0,1517.0
2009-07-01,4388.0,,,,,3033.930056082884,0.0,3756.0,16583.476190476187,24.10081048387097,0.0,0.0,0.0,0.0,0.0,2074.0,66.0,0.0,0.0,0.0,0.0,1616.0
2009-08-01,2926.0,,,,,2658.8320893968253,0.0,2561.0,17404.452380952378,25.463451612903228,0.0,0.0,0.0,0.0,0.0,1407.0,76.0,0.0,0.0,0.0,0.0,1078.0
2009-09-01,3698.0,,,,,3210.9462110618188,0.0,3342.0,18207.2619047619,20.573568055555555,0.0,0.0,0.0,0.0,0.0,1925.0,66.0,0.0,0.0,0.0,0.0,1351.0
2009-10-01,3310.0,,,,,4383.794298577841,28.0,5654.0,12917.714285714284,14.19421639784946,0.0,0.0,22.0,6.0,0.0,2205.0,85.0,740.0,492.0,0.0,951.0,1181.0
2009-11-01,3809.0,,,,,6399.031295956811,38.0,6335.0,12332.619047619048,10.2396625,0.0,0.0,30.0,8.0,0.0,2114.0,65.0,532.0,618.0,8.0,933.0,2065.0
2009-12-01,3567.0,,,,,7944.561087233711,46.0,7088.0,10713.357142857141,5.443491935483871,0.0,0.0,33.0,13.0,0.0,2351.0,70.0,770.0,825.0,15.0,998.0,2059.0
2010-01-01,3637.0,,,,,7807.900832342672,52.0,7577.0,8484.5,3.2810833333333336,0.0,0.0,38.0,14.0,0.0,2044.0,65.0,915.0,778.0,7.0,965.0,2803.0
2010-02-01,4039.0,,,,,6460.947915521992,69.0,7060.0,6964.142857142857,5.013787202380952,0.0,0.0,54.0,15.0,0.0,1830.0,62.0,871.0,746.0,8.0,1061.0,2482.0
2010-03-01,4541.0,,,,,5036.395372204681,44.0,7119.0,6287.4047619047615,7.75647311827957,0.0,0.0,34.0,10.0,0.0,1415.0,43.0,989.0,868.0,11.0,1085.0,2708.0
2010-04-01,4046.0,,,,,3635.7553606866595,32.0,5870.0,7051.214285714286,12.202006944444443,0.0,0.0,26.0,6.0,0.0,1146.0,26.0,745.0,806.0,13.0,1120.0,2014.0
2010-05-01,3682.0,,,,,3412.5166550976865,30.0,5600.0,8428.261904761905,15.596712365591396,0.0,0.0,26.0,4.0,0.0,1247.0,33.0,728.0,832.0,15.0,1218.0,1527.0
2010-06-01,3914.0,,,,,3388.2815973218703,21.0,5236.0,9807.119047619048,20.35096527777777,0.0,0.0,18.0,3.0,0.0,1163.0,29.0,704.0,605.0,7.0,956.0,1772.0
2010-07-01,4563.0,,,,,3127.783275073729,30.0,5493.0,10824.928571428572,24.69677822580645,0.0,0.0,28.0,2.0,0.0,1270.0,25.0,669.0,742.0,5.0,767.0,2015.0
2010-08-01,2926.0,,,,,2737.4801498261095,27.0,4322.0,11861.785714285712,23.0690497311828,0.0,0.0,25.0,2.0,0.0,1478.0,57.0,712.0,713.0,5.0,0.0,1357.0
2010-09-01,3503.0,,,,,3402.7411418683,33.0,5326.0,12801.619047619046,18.72775555555556,0.0,0.0,30.0,3.0,0.0,2203.0,40.0,513.0,699.0,13.0,0.0,1858.0
2010-10-01,3869.0,,,,,4368.952900442606,45.0,6395.0,13503.738095238095,13.510564516129032,0.0,0.0,37.0,8.0,0.0,2752.0,23.0,856.0,626.0,15.0,0.0,2123.0
2010-11-01,4005.0,,,,,6178.305431847441,48.0,6761.0,13203.476190476189,9.935626388888888,0.0,0.0,37.0,11.0,0.0,2821.0,23.0,855.0,853.0,15.0,0.0,2194.0
2010-12-01,3036.0,,,,,7831.758274473135,53.0,7757.0,11188.690476190477,4.09875,0.0,0.0,37.0,16.0,0.0,3088.0,23.0,852.0,822.0,19.0,182.0,2771.0
2011-01-01,4078.0,,,,,7989.729675715581,49.0,7863.0,9405.238095238095,4.427970430107527,0.0,0.0,34.0,15.0,0.0,2769.0,21.0,805.0,798.0,12.0,857.0,2601.0
2011-02-01,4196.0,,,,,6862.534802190174,43.0,6839.0,8066.309523809524,5.85728125,0.0,0.0,31.0,12.0,0.0,2451.0,24.0,538.0,778.0,21.0,747.0,2280.0
2011-03-01,4228.0,,,,,5399.946395802403,44.0,6706.0,7104.738095238095,8.209154569892473,0.0,0.0,32.0,12.0,0.0,2101.0,19.0,0.0,827.0,22.0,787.0,2950.0
2011-04-01,4054.0,,,,,3778.145204276778,29.0,5471.0,8244.119047619048,13.555788888888888,0.0,0.0,25.0,4.0,0.0,2592.0,22.0,0.0,831.0,15.0,649.0,1362.0
2011-05-01,3541.0,,,,,3406.6577969645605,20.0,5690.0,9782.619047619048,17.155767473118278,0.0,0.0,17.0,3.0,0.0,2341.0,18.0,0.0,849.0,8.0,645.0,1829.0
2011-06-01,3541.0,,,,,3484.6713113166074,26.0,4667.0,11091.642857142857,20.94163888888889,0.0,0.0,23.0,3.0,0.0,1426.0,19.0,0.0,803.0,14.0,839.0,1566.0
2011-07-01,4016.0,,,,,3442.837215828915,11.0,5121.0,12303.571428571428,22.65456451612903,0.0,0.0,11.0,0.0,0.0,1627.0,24.0,0.0,782.0,4.0,1104.0,1580.0
2011-08-01,2729.0,,,,,2891.746115714155,14.0,4705.0,13732.333333333332,24.81381586021505,0.0,0.0,12.0,2.0,0.0,1602.0,24.0,0.0,534.0,4.0,1223.0,1318.0
2011-09-01,3094.0,,,,,3499.689842096407,15.0,5307.0,14660.333333333332,22.108304166666667,0.0,0.0,12.0,3.0,0.0,1937.0,24.0,0.0,640.0,4.0,1358.0,1344.0
2011-10-01,4816.0,,,,,4362.1338055149945,31.0,5047.0,14927.02380952381,14.560629032258063,0.0,0.0,25.0,6.0,0.0,2557.0,19.0,80.0,679.0,18.0,460.0,1234.0
2011-11-01,4663.0,,,,,6113.958688763324,42.0,5578.0,13765.904761904761,10.100152777777778,0.0,0.0,31.0,11.0,0.0,2720.0,21.0,421.0,699.0,18.0,475.0,1224.0
2011-12-01,4393.0,,,,,7797.03345024316,46.0,6011.0,11901.714285714284,6.655989247311828,0.0,0.0,32.0,14.0,0.0,2234.0,26.0,496.0,777.0,18.0,1056.0,1404.0
2012-01-01,4381.0,,,,,7979.190537213877,47.0,6923.0,9701.904761904761,4.48866935483871,0.0,0.0,32.0,15.0,0.0,2366.0,52.0,520.0,752.0,18.0,841.0,2374.0
2012-02-01,3274.0,,,,,7021.0265383074675,48.0,7466.0,7523.833333333333,2.8401278735632185,0.0,0.0,33.0,15.0,0.0,2595.0,15.0,548.0,634.0,16.0,1210.0,2448.0
2012-03-01,4720.0,,,,,5781.194414872893,41.0,5860.0,7527.476190476191,10.742600806451613,0.0,0.0,33.0,8.0,0.0,1710.0,17.0,502.0,779.0,25.0,773.0,2054.0
2012-04-01,3849.0,,,,,3881.080838599747,28.0,5960.0,8798.380952380952,11.88884722222222,0.0,0.0,20.0,8.0,0.0,1816.0,27.0,583.0,762.0,17.0,650.0,2105.0
2012-05-01,3477.0,,,,,3486.295755643705,25.0,5392.0,10503.809523809523,16.46674193548387,0.0,0.0,21.0,4.0,0.0,1482.0,10.0,535.0,745.0,18.0,752.0,1850.0
2012-06-01,3511.0,,,,,3474.2603757489237,22.0,4905.0,11885.38095238095,22.824376388888886,0.0,0.0,19.0,3.0,0.0,1545.0,18.0,481.0,567.0,17.0,746.0,1531.0
2012-07-01,3415.0,,,,,3563.3432564395334,22.0,5201.0,13112.761904761905,25.278857526881723,0.0,0.0,19.0,3.0,0.0,1867.0,16.0,473.0,493.0,16.0,847.0,1489.0
2012-08-01,2230.0,,,,,3009.48682948429,18.0,4510.0,14180.476190476189,26.145348118279568,0.0,0.0,16.0,2.0,0.0,1811.0,16.0,522.0,345.0,15.0,858.0,943.0
2012-09-01,3303.0,,,,,3781.189266520808,20.0,4664.0,15083.07142857143,20.02935833333333,0.0,0.0,17.0,3.0,0.0,1899.0,16.0,526.0,635.0,11.0,771.0,806.0
2012-10-01,4661.0,,,,,4608.115186411893,10.0,4616.0,15367.904761904761,15.715842741935484,0.0,0.0,3.0,7.0,0.0,1982.0,19.0,654.0,425.0,1.0,298.0,1237.0
2012-11-01,4595.0,,,,,6274.754460078093,17.0,5127.0,14915.238095238095,11.312958333333333,0.0,0.0,6.0,11.0,0.0,1920.0,19.0,575.0,601.0,0.0,343.0,1669.0
2012-12-01,3896.0,,,,,8197.309782244558,26.0,6533.0,13196.214285714286,4.94334811827957,0.0,0.0,10.0,16.0,0.0,2690.0,25.0,551.0,609.0,0.0,402.0,2256.0
2013-01-01,4239.0,,,,,8748.848997496158,30.0,6205.0,10878.45238095238,5.006434139784946,0.0,0.0,17.0,13.0,0.0,2570.0,24.0,519.0,557.0,0.0,235.0,2300.0
2013-02-01,4428.0,,,,,7084.460328538391,28.0,5181.0,8132.523809523809,4.003754464285715,0.0,0.0,15.0,13.0,0.0,2295.0,9.0,406.0,549.0,0.0,127.0,1795.0
2013-03-01,3791.0,,,,,5791.032910671712,25.0,5368.0,6374.5,7.566225806451613,0.0,5.0,7.0,13.0,0.0,2572.0,28.0,439.0,504.0,0.0,182.0,1643.0
2013-04-01,3203.0,,,,,4097.6888118997795,15.0,4526.0,6658.428571428572,12.752808333333334,0.0,3.0,5.0,7.0,0.0,2609.0,13.0,633.0,464.0,2.0,183.0,622.0
2013-05-01,3359.0,,,,,3736.463248965935,12.0,4754.0,8227.785714285714,15.301297043010754,0.0,0.0,9.0,3.0,0.0,2574.0,22.0,496.0,417.0,1.0,634.0,610.0
2013-06-01,3471.0,,,,,3688.493242917227,14.0,4563.0,9810.761904761905,19.966754166666668,0.0,0.0,13.0,1.0,0.0,2308.0,28.0,553.0,489.0,0.0,659.0,526.0
2013-07-01,3674.0,,,,,3795.8368736585153,12.0,4958.0,11367.40476190476,24.11557123655914,0.0,6.0,3.0,3.0,0.0,2361.0,31.0,496.0,543.0,1.0,863.0,663.0
2013-08-01,2716.0,,,,,3170.21931670471,12.0,4342.0,13022.047619047618,24.2820994623656,0.0,6.0,3.0,3.0,0.0,2189.0,37.0,592.0,358.0,0.0,712.0,454.0
2013-09-01,2961.0,,,,,3877.670583716655,12.0,4528.0,13923.738095238095,20.0448125,0.0,5.0,4.0,3.0,0.0,2314.0,34.0,517.0,344.0,1.0,975.0,343.0
