date,ratio,Gas consumed Mm3,Gas consumed from stocks Mm3,Total Gas Stocks Mm3
2010-01-01,0.9704272841957454,7807.900832342672,,8484.5
2010-02-01,1.0927189156004222,6460.947915521992,1520.3571428571431,6964.142857142857
2010-03-01,1.413510948582192,5036.395372204681,676.7380952380954,6287.4047619047615
2010-04-01,1.614520070154383,3635.75536068666,-763.8095238095248,7051.214285714286
2010-05-01,1.6410176318508531,3412.5166550976865,-1377.0476190476184,8428.261904761905
2010-06-01,1.5453261039869248,3388.2815973218703,-1378.8571428571431,9807.119047619048
2010-07-01,1.7561958476392574,3127.783275073729,-1017.8095238095248,10824.928571428572
2010-08-01,1.5788242337664231,2737.480149826109,-1036.8571428571395,11861.785714285712
2010-09-01,1.565208688509206,3402.7411418683,-939.8333333333339,12801.619047619046
2010-10-01,1.463737455112446,4368.952900442606,-702.1190476190495,13503.738095238095
2010-11-01,1.094313007762441,6178.305431847441,300.2619047619082,13203.476190476187
2010-12-01,0.9904544711604797,7831.758274473135,2014.785714285712,11188.690476190475
2011-01-01,0.984138427599025,7989.729675715581,1783.4523809523798,9405.238095238095
2011-02-01,0.9965705380200531,6862.534802190174,1338.9285714285716,8066.309523809524
2011-03-01,1.2418641794690493,5399.946395802403,961.5714285714284,7104.738095238095
2011-04-01,1.448065043611068,3778.145204276778,-1139.3809523809523,8244.119047619048
2011-05-01,1.670258751868171,3406.6577969645605,-1538.5,9782.619047619048
2011-06-01,1.3392941781463674,3484.6713113166074,-1309.0238095238092,11091.642857142857
2011-07-01,1.4874359950727563,3442.837215828915,-1211.9285714285706,12303.571428571428
2011-08-01,1.6270446338398687,2891.746115714155,-1428.7619047619046,13732.333333333332
2011-09-01,1.5164200941935375,3499.689842096407,-928.0,14660.333333333332
2011-10-01,1.1570025645749649,4362.1338055149945,-266.69047619047706,14927.02380952381
2011-11-01,0.9123385164920483,6113.958688763324,1161.1190476190495,13765.90476190476
2011-12-01,0.7709342326615951,7797.03345024316,1864.1904761904752,11901.714285714284
