,Gas imported Mm3,Gas consumed Mm3,Gas consumed from stocks Mm3,Total Gas Stocks Mm3,autoEstimator,Gas consumed last month Mm3,Gas imported last month Mm3,Net new gas (appx) Mm3,Net new gas (appx) last month Mm3,sinEstimator1
2010-01-01,7577.0,7807.900832342672,1520.3571428571431,8484.5,7577.0,6460.947915521992,7060.0,6287.543689485529,6287.543689485529,4847.983403403127
2010-02-01,7060.0,6460.947915521992,1520.3571428571431,6964.142857142857,7060.0,7807.900832342672,7577.0,4940.590772664849,6287.543689485529,4554.610321026612
2010-03-01,7119.0,5036.395372204681,676.7380952380954,6287.4047619047615,7119.0,6460.947915521992,7060.0,4359.657276966585,4940.590772664849,4398.539682078638
2010-04-01,5870.0,3635.75536068666,-763.8095238095248,7051.214285714286,5870.0,5036.395372204681,7119.0,4399.564884496185,4359.657276966585,3929.8705327072316
2010-05-01,5600.0,3412.5166550976865,-1377.0476190476184,8428.261904761905,5600.0,3635.75536068666,5870.0,4789.564274145305,4399.564884496185,4340.159824089579
2010-06-01,5236.0,3388.2815973218703,-1378.8571428571431,9807.119047619048,5236.0,3412.5166550976865,5600.0,4767.138740179013,4789.564274145305,4726.275845888961
2010-07-01,5493.0,3127.783275073729,-1017.8095238095248,10824.928571428572,5493.0,3388.2815973218703,5236.0,4145.592798883254,4767.138740179013,4432.085122229065
2010-08-01,4322.0,2737.480149826109,-1036.8571428571395,11861.785714285712,4322.0,3127.783275073729,5493.0,3774.3372926832485,4145.592798883254,3646.993659019269
2010-09-01,5326.0,3402.7411418683,-939.8333333333339,12801.619047619046,5326.0,2737.480149826109,4322.0,4342.574475201634,3774.3372926832485,3958.6556648422898
2010-10-01,6395.0,4368.952900442606,-702.1190476190495,13503.738095238095,6395.0,3402.7411418683,5326.0,5071.071948061655,4342.574475201634,4175.601992258634
2010-11-01,6761.0,6178.305431847441,300.2619047619082,13203.476190476187,6761.0,4368.952900442606,6395.0,5878.043527085532,5071.071948061655,4727.176430118331
2010-12-01,7757.0,7831.758274473135,2014.785714285712,11188.690476190475,7756.999999999999,6178.305431847441,6761.0,5816.972560187423,5878.043527085532,5033.560768815036
2011-01-01,7863.0,7989.729675715581,1783.4523809523798,9405.238095238095,7863.0,7831.758274473135,7757.0,6206.277294763201,5816.972560187423,4960.882277743384
2011-02-01,6839.0,6862.534802190174,1338.9285714285716,8066.309523809524,6839.000000000001,7989.729675715581,7863.0,5523.606230761602,6206.277294763201,4837.706826790669
2011-03-01,6706.0,5399.946395802403,961.5714285714284,7104.738095238095,6706.000000000001,6862.534802190174,6839.0,4438.374967230974,5523.606230761602,4716.047241667806
2011-04-01,5471.0,3778.145204276778,-1139.3809523809523,8244.119047619048,5471.0,5399.946395802403,6706.0,4917.52615665773,4438.374967230974,4083.7790317586946
2011-05-01,5690.0,3406.6577969645605,-1538.5,9782.619047619048,5690.0,3778.145204276778,5471.0,4945.1577969645605,4917.52615665773,4332.708320330191
2011-06-01,4667.0,3484.6713113166074,-1309.0238095238092,11091.642857142857,4667.0,3406.6577969645605,5690.0,4793.695120840417,4945.1577969645605,4860.728772530464
2011-07-01,5121.0,3442.837215828915,-1211.9285714285706,12303.571428571428,5121.0,3484.6713113166074,4667.0,4654.7657872574855,4793.695120840417,4878.51819022601
2011-08-01,4705.0,2891.746115714155,-1428.7619047619046,13732.333333333332,4705.0,3442.837215828915,5121.0,4320.50802047606,4654.7657872574855,3852.5136878793596
2011-09-01,5307.0,3499.689842096407,-928.0,14660.333333333332,5307.0,2891.746115714155,4705.0,4427.689842096407,4320.50802047606,4071.443122176283
2011-10-01,5047.0,4362.1338055149945,-266.69047619047706,14927.02380952381,5047.0,3499.689842096407,5307.0,4628.824281705472,4427.689842096407,4169.084680899601
2011-11-01,5578.0,6113.958688763324,1161.1190476190495,13765.90476190476,5578.000000000001,4362.1338055149945,5047.0,4952.8396411442745,4628.824281705472,4677.943123248431
2011-12-01,6011.0,7797.03345024316,1864.1904761904752,11901.714285714284,6011.0,6113.958688763324,5578.0,5932.842974052684,4952.8396411442745,5011.24272645184
2012-01-01,6923.0,7979.190537213877,2199.8095238095248,9701.90476190476,6923.0,7797.03345024316,6011.0,5779.381013404352,5932.842974052684,4954.338448660568
2012-02-01,7466.0,7021.026538307468,2178.0714285714266,7523.833333333333,7466.0,7979.190537213877,6923.0,4842.955109736042,5779.381013404352,4949.434719749381
2012-03-01,5860.0,5781.194414872893,-3.6428571428577925,7527.476190476191,5860.0,7021.026538307468,7466.0,5784.83727201575,4842.955109736042,5049.010485548587
2012-04-01,5960.0,3881.080838599747,-1270.9047619047615,8798.380952380952,5960.0,5781.194414872893,5860.0,5151.9856005045085,5784.83727201575,4195.041665231087
2012-05-01,5392.0,3486.295755643705,-1705.4285714285725,10503.809523809525,5392.0,3881.080838599747,5960.0,5191.724327072277,5151.9856005045085,4433.994703274404
2012-06-01,4905.0,3474.260375748924,-1381.5714285714257,11885.38095238095,4905.0,3486.295755643705,5392.0,4855.83180432035,5191.724327072277,4846.2066757408875
2012-07-01,5201.0,3563.343256439533,-1227.380952380954,13112.761904761905,5201.0,3474.260375748924,4905.0,4790.724208820488,4855.83180432035,5049.275874745076
2012-08-01,4510.0,3009.48682948429,-1067.7142857142826,14180.476190476187,4510.0,3563.343256439533,5201.0,4077.2011151985726,4790.724208820488,4009.3731400128704
2012-09-01,4664.0,3781.189266520808,-902.5952380952422,15083.07142857143,4664.0,3009.48682948429,4510.0,4683.78450461605,4077.2011151985726,4398.931827513313
2012-10-01,4616.0,4608.115186411893,-284.8333333333303,15367.90476190476,4616.0,3781.189266520808,4664.0,4892.948519745223,4683.78450461605,4404.179992645251
2012-11-01,5127.0,6274.754460078093,452.66666666666424,14915.238095238095,5127.0,4608.115186411893,4616.0,5822.087793411429,4892.948519745223,4800.972000439209
2012-12-01,6533.0,8197.309782244558,1719.0238095238092,13196.214285714286,6533.0,6274.754460078093,5127.0,6478.285972720749,5822.087793411429,5268.5049108599715
2013-01-01,6205.0,8748.848997496158,2317.7619047619064,10878.45238095238,6205.0,8197.309782244558,6533.0,6431.087092734251,6478.285972720749,5432.225081938641
2013-02-01,5181.0,7084.460328538391,2745.9285714285706,8132.523809523809,5181.0,8748.848997496158,6205.0,4338.53175710982,6431.087092734251,4994.152027405351
2013-03-01,5368.0,5791.032910671712,1758.0238095238092,6374.5,5367.999999999999,7084.460328538391,5181.0,4033.0091011479026,4338.53175710982,5057.602943245991
2013-04-01,4526.0,4097.68881189978,-283.92857142857156,6658.428571428572,4526.0,5791.032910671712,5368.0,4381.617383328352,4033.0091011479026,4429.172184744498
2013-05-01,4754.0,3736.463248965935,-1569.3571428571422,8227.785714285714,4754.0,4097.68881189978,4526.0,5305.820391823077,4381.617383328352,4752.1666020659895
2013-06-01,4563.0,3688.493242917227,-1582.9761904761908,9810.761904761905,4563.0,3736.463248965935,4754.0,5271.469433393418,5305.820391823077,5145.03768975501
2013-07-01,4958.0,3795.8368736585153,-1556.642857142855,11367.40476190476,4958.0,3688.493242917227,4563.0,5352.47973080137,5271.469433393418,5378.720536113176
2013-08-01,4342.0,3170.21931670471,-1654.6428571428587,13022.047619047618,4342.0,3795.8368736585153,4958.0,4824.862173847569,5352.47973080137,4223.508158207798
2013-09-01,4528.0,3877.670583716655,-901.690476190477,13923.738095238095,4528.0,3170.21931670471,4342.0,4779.361059907133,4824.862173847569,4511.175544253718
2013-10-01,4927.0,4837.829051685152,-675.809523809523,14599.547619047618,4926.999999999999,3877.670583716655,4528.0,5513.638575494675,4779.361059907133,4623.727718460121
2013-11-01,4871.0,6737.980427821649,881.7619047619046,13717.785714285714,4871.0,4837.829051685152,4927.0,5856.218523059744,5513.638575494675,5155.397805490629
2013-12-01,6908.0,8463.055877816601,1062.2142857142844,12655.57142857143,6908.0,6737.980427821649,4871.0,7400.841592102317,5856.218523059744,5439.302971047446
2014-01-01,5544.0,8450.0,2111.857142857143,10543.714285714286,5544.0,8463.055877816601,6908.0,6338.142857142857,7400.841592102317,5246.667527982063
2014-02-01,4640.0,6962.0,1623.7857142857156,8919.92857142857,4640.0,8450.0,5544.0,5338.214285714284,6338.142857142857,4907.824280522067
2014-03-01,4535.0,6076.0,868.1190476190477,8051.809523809523,4535.0,6962.0,4640.0,5207.880952380952,5338.214285714284,5306.47916480209
2014-04-01,4685.0,4123.0,-1031.4047619047615,9083.214285714284,4685.0,6076.0,4535.0,5154.4047619047615,5207.880952380952,4456.530926572516
2014-05-01,5221.0,3720.0,-1905.9047619047615,10989.119047619046,5221.0,4123.0,4685.0,5625.9047619047615,5154.4047619047615,4731.228057596412
2014-06-01,4909.0,3591.0,-1707.2380952380972,12696.357142857143,4909.0,3720.0,5221.0,5298.238095238097,5625.9047619047615,5009.045463045968
2014-07-01,4892.0,3887.0,-1450.5476190476165,14146.90476190476,4892.0,3591.0,4909.0,5337.5476190476165,5298.238095238097,5507.8991589333455
2014-08-01,3550.0,3033.0,-1014.1666666666679,15161.071428571428,3550.0000000000005,3887.0,4892.0,4047.166666666668,5337.5476190476165,4040.6984388573865
2014-09-01,4252.0,4120.0,-610.5,15771.571428571428,4252.0,3033.0,3550.0,4730.5,4047.166666666668,4793.094937041051
2014-10-01,4261.0,4593.0,-229.52380952380918,16001.095238095237,4261.0,4120.0,4252.0,4822.523809523809,4730.5,4389.733738832704
2014-11-01,4273.0,5737.0,808.2619047619046,15192.833333333332,4273.0,4593.0,4261.0,4928.738095238095,4822.523809523809,4389.522576820791
2014-12-01,4996.0,7620.0,1851.476190476189,13341.357142857143,4996.0,5737.0,4273.0,5768.523809523811,4928.738095238095,4897.461299768074
2015-01-01,4959.0,8719.0,2905.5952380952385,10435.761904761905,4959.0,7620.0,4996.0,5813.4047619047615,5768.523809523811,5413.691618517823
2015-02-01,4746.0,8088.0,2596.2380952380954,7839.523809523809,4746.0,8719.0,4959.0,5491.761904761905,5813.4047619047615,5701.591896130779
2015-03-01,4834.0,6946.0,1414.2380952380945,6425.285714285715,4834.0,8088.0,4746.0,5531.7619047619055,5491.761904761905,6066.294318419242
2015-04-01,5086.0,4461.0,-1071.333333333333,7496.619047619048,5086.0,6946.0,4834.0,5532.333333333333,5531.7619047619055,4821.873505563909
2015-05-01,5253.0,3695.0,-1939.476190476189,9436.095238095237,5253.0,4461.0,5086.0,5634.476190476189,5532.333333333333,4699.4321701125655
2015-06-01,4822.0,3631.0,-1582.0714285714294,11018.166666666666,4822.0,3695.0,5253.0,5213.071428571429,5634.476190476189,5064.841012620414
2015-07-01,5782.0,4551.0,-1617.4285714285743,12635.59523809524,5781.999999999999,3631.0,4822.0,6168.428571428574,5213.071428571429,6448.79060259986
2015-08-01,4835.0,3519.0,-1701.8095238095193,14337.40476190476,4835.0,4551.0,5782.0,5220.809523809519,6168.428571428574,4688.169405321181
2015-09-01,4929.0,4128.0,-1211.9523809523835,15549.357142857143,4929.000000000001,3519.0,4835.0,5339.9523809523835,5220.809523809519,4802.401917501325
2015-10-01,4775.0,4842.0,-444.5,15993.857142857143,4775.0,4128.0,4929.0,5286.5,5339.9523809523835,4627.714078691041
2015-11-01,5100.0,6525.0,801.9523809523835,15191.90476190476,5100.0,4842.0,4775.0,5723.0476190476165,5286.5,4992.441138880192
2015-12-01,6079.0,8419.0,1642.809523809523,13549.095238095237,6079.0,6525.0,5100.0,6776.190476190477,5723.0476190476165,5410.987753641393
2016-01-01,5261.0,9132.0,3041.642857142855,10507.452380952382,5260.999999999999,8419.0,6079.0,6090.357142857145,6776.190476190477,5670.126374619195
2016-02-01,4782.0,7514.0,2051.0714285714294,8456.380952380952,4782.0,9132.0,5261.0,5462.928571428571,6090.357142857145,5296.953697765414
2016-03-01,4978.0,7026.0,1394.2619047619055,7062.119047619047,4978.0,7514.0,4782.0,5631.7380952380945,5462.928571428571,6136.162378521969
2016-04-01,5097.0,4410.0,-974.2619047619055,8036.380952380952,5097.0,7026.0,4978.0,5384.2619047619055,5631.7380952380945,4766.747850153965
2016-05-01,5847.0,4175.0,-1889.5714285714275,9925.95238095238,5847.0,4410.0,5097.0,6064.5714285714275,5384.2619047619055,5309.913209802426
2016-06-01,5526.0,3716.0,-2001.1666666666679,11927.119047619048,5526.0,4175.0,5847.0,5717.166666666668,6064.5714285714275,5183.406555466114
2016-07-01,5758.0,4191.0,-1782.5476190476184,13709.666666666666,5757.999999999999,3716.0,5526.0,5973.547619047618,5717.166666666668,5938.66873555175
2016-08-01,4869.0,3559.0,-1601.0952380952385,15310.761904761905,4869.0,4191.0,5758.0,5160.0952380952385,5973.547619047618,4741.459196799683
2016-09-01,5341.0,4655.0,-1074.0476190476184,16384.809523809523,5341.0,3559.0,4869.0,5729.047619047618,5160.0952380952385,5415.499255321867
2016-10-01,5795.0,5635.0,-618.6666666666642,17003.476190476187,5795.0,4655.0,5341.0,6253.666666666664,5729.047619047618,5385.619337757955
2016-11-01,5747.0,7463.0,1104.8809523809505,15898.595238095237,5747.0,5635.0,5795.0,6358.1190476190495,6253.666666666664,5710.128462752931
2016-12-01,6284.0,9438.0,2402.1190476190495,13496.476190476187,6284.0,7463.0,5747.0,7035.8809523809505,6358.1190476190495,6065.9107279804575
2017-01-01,6997.0,11141.0,3325.595238095235,10170.880952380952,6997.0,9438.0,6284.0,7815.404761904765,7035.8809523809505,6917.529340739428
2017-02-01,5178.0,8078.0,2229.7619047619055,7941.119047619047,5178.0,11141.0,6997.0,5848.2380952380945,7815.404761904765,5694.542450166225
2017-03-01,5364.0,6491.0,564.2380952380945,7376.880952380952,5364.0,8078.0,5178.0,5926.7619047619055,5848.2380952380945,5668.919726584984
2017-04-01,5790.0,4835.0,-1266.3809523809523,8643.261904761905,5790.0,6491.0,5364.0,6101.380952380952,5926.7619047619055,5226.128311903497
2017-05-01,6260.0,4510.0,-1923.142857142855,10566.40476190476,6260.0,4835.0,5790.0,6433.142857142855,6101.380952380952,5735.978102085973
2017-06-01,5993.0,4358.0,-1798.857142857145,12365.261904761905,5993.0,4510.0,6260.0,6156.857142857145,6433.142857142855,6078.925126135987
2017-07-01,5967.0,4565.0,-1628.3333333333321,13993.595238095237,5967.0,4358.0,5993.0,6193.333333333332,6156.857142857145,6468.6286752072865
2017-08-01,5262.0,3972.0,-1611.0714285714294,15604.666666666666,5262.0,4565.0,5967.0,5583.071428571429,6193.333333333332,5291.676293815212
2017-09-01,4910.0,4327.0,-932.5476190476165,16537.214285714283,4910.0,3972.0,5262.0,5259.5476190476165,5583.071428571429,5033.913056450638
2017-10-01,5418.0,5237.0,-586.9285714285761,17124.14285714286,5418.000000000002,4327.0,4910.0,5823.928571428576,5259.5476190476165,5005.233091719328
2017-11-01,5771.0,7930.0,1554.8571428571468,15569.285714285712,5771.0,5237.0,5418.0,6375.142857142853,5823.928571428576,6067.441874531789
2017-12-01,6712.0,9706.0,2307.7619047619028,13261.52380952381,6712.0,7930.0,5771.0,7398.238095238097,6375.142857142853,6238.157398366002
2018-01-01,5347.0,8824.0,2749.5476190476184,10511.97619047619,5347.0,9706.0,6712.0,6074.452380952382,7398.238095238097,5478.886895492748
