Month,Albania->Italy,Algeria->Spain,Algeria->Tunisia,Austria->Germany,Austria->Hungary,Austria->Italy,Austria->Slovak Republic,Austria->Slovenia,Austria->Switzerland,Belarus->Lithuania,Belarus->Poland,Belgium->France,Belgium->Germany,Belgium->Luxembourg,Belgium->Netherlands,Belgium->United Kingdom,Bulgaria->Greece,Bulgaria->North Macedonia,Bulgaria->Republic of Türkiye,Bulgaria->Romania,Bulgaria->Serbia,Croatia->Hungary,Croatia->Italy,Croatia->Liquefied Natural Gas,Croatia->Slovenia,Czech Republic->Austria,Czech Republic->Germany,Czech Republic->Poland,Czech Republic->Slovak Republic,Denmark->Germany,Denmark->Netherlands,Denmark->Poland,Denmark->Sweden,Estonia->Finland,Estonia->Latvia,Finland->Estonia,Finland->Liquefied Natural Gas,France->Belgium,France->Spain,France->Switzerland,Georgia->Republic of Türkiye,Germany->Austria,Germany->Belgium,Germany->Czech Republic,Germany->Denmark,Germany->France,Germany->Luxembourg,Germany->Netherlands,Germany->Poland,Germany->Switzerland,Greece->Albania,Greece->Bulgaria,Greece->Liquefied Natural Gas,Hungary->Austria,Hungary->Croatia,Hungary->Romania,Hungary->Serbia,Hungary->Slovak Republic,Hungary->Ukraine,"Iran, Islamic Republic->Republic of Türkiye",Italy->Albania,Italy->Austria,Italy->Slovenia,Italy->Switzerland,Latvia->Estonia,Latvia->Lithuania,Latvia->Russia,Libya->Italy,Liquefied Natural Gas->Belgium,Liquefied Natural Gas->Croatia,Liquefied Natural Gas->Finland,Liquefied Natural Gas->France,Liquefied Natural Gas->Greece,Liquefied Natural Gas->Italy,Liquefied Natural Gas->Lithuania,Liquefied Natural Gas->Netherlands,Liquefied Natural Gas->Poland,Liquefied Natural Gas->Portugal,Liquefied Natural Gas->Republic of Türkiye,Liquefied Natural Gas->Spain,Liquefied Natural Gas->United Kingdom,Lithuania->Latvia,Lithuania->Poland,Lithuania->Russia,Morocco->Spain,Netherlands->Belgium,Netherlands->Germany,Netherlands->Norway,Netherlands->United Kingdom,North Macedonia->Bulgaria,Norway->Belgium,Norway->Denmark,Norway->France,Norway->Germany,Norway->Liquefied Natural Gas,Norway->Netherlands,Norway->United Kingdom,Not Elsewhere Specified->Ukraine,Poland->Germany,Poland->Lithuania,Poland->Slovak Republic,Poland->Ukraine,Portugal->Spain,Republic of Türkiye->Bulgaria,Republic of Türkiye->Greece,Republic of Türkiye->Liquefied Natural Gas,Republic of Türkiye->North Macedonia,Romania->Bulgaria,Romania->Hungary,Romania->Moldova Republic,Romania->Ukraine,Russia->Estonia,Russia->Finland,Russia->Germany,Russia->Latvia,Russia->Republic of Türkiye,Russia->Ukraine,Serbia->Bulgaria,Serbia->Hungary,Slovak Republic->Austria,Slovak Republic->Czech Republic,Slovak Republic->Hungary,Slovak Republic->Poland,Slovak Republic->Ukraine,Slovenia->Croatia,Slovenia->Italy,Spain->France,Spain->Morocco,Spain->Portugal,Switzerland->France,Switzerland->Germany,Switzerland->Italy,Tunisia->Italy,Ukraine->Hungary,"Ukraine->Moldova, Republic",Ukraine->Poland,Ukraine->Romania,Ukraine->Slovak Republic,United Kingdom->Belgium,United Kingdom->Ireland,United Kingdom->Isle Of Man,United Kingdom->Liquefied Natural Gas,United Kingdom->Netherlands,United Kingdom->Norway
2008-10-01,0.0,0.0,2170.0,175.0,170.0,1615.0,0.0,176.0,6.0,346.0,2684.0,1305.0,282.0,48.0,291.0,0.0,118.0,8.0,1068.0,0.0,1.0,0.0,54.0,0.0,0.0,0.0,2309.0,0.0,0.0,153.0,127.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,147.0,418.0,0.0,190.0,240.0,802.0,0.0,652.0,81.0,324.0,80.0,1265.0,0.0,0.0,71.0,0.0,0.0,0.0,213.0,0.0,0.0,343.0,0.0,0.0,1.0,6.0,10.0,0.0,4.0,822.0,90.0,0.0,0.0,990.0,142.0,94.0,0.0,0.0,0.0,208.0,1235.0,2155.0,73.0,0.0,0.0,82.0,716.0,189.0,1820.0,0.0,0.0,0.0,883.0,0.0,1228.0,1460.0,48.0,0.0,2887.0,0.0,2212.0,0.0,0.0,0.0,0.0,0.0,51.0,1983.0,0.0,1398.0,0.0,0.0,0.0,64.0,455.0,0.0,155.0,744.0,12861.0,106.5,0.0,2655.0,2202.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,153.0,0.0,671.0,1475.0,2010.0,872.0,391.0,408.0,1564.0,5485.0,945.0,396.0,0.0,0.0,77.0,3.0
2008-11-01,0.0,0.0,2041.0,195.0,208.0,1972.0,0.0,165.0,8.0,401.0,2648.0,1605.0,94.0,63.0,220.0,2.0,143.0,13.0,1126.0,0.0,2.5,0.0,46.0,0.0,0.0,0.0,1846.0,0.0,0.0,177.0,145.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,179.0,498.0,0.0,170.0,262.0,546.0,0.0,610.0,71.0,456.0,77.0,1101.0,0.0,0.0,43.5,0.0,0.0,0.0,218.0,0.0,0.0,381.0,0.0,0.0,2.0,9.0,75.0,0.0,12.0,949.0,281.0,0.0,0.0,1334.0,87.0,158.0,0.0,0.0,0.0,179.0,1164.5,2427.0,179.0,0.0,0.0,130.0,798.0,170.0,1687.0,0.0,0.0,0.0,1050.0,0.0,1294.0,1341.0,424.0,0.0,2822.0,0.0,2198.0,0.0,0.0,0.0,2.0,0.0,49.0,2000.0,0.0,1532.0,0.0,0.0,0.0,22.0,457.0,0.0,0.0,843.0,12964.0,109.0,0.0,2814.0,1966.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,183.0,0.0,576.0,1298.0,1898.0,941.0,325.0,406.0,1645.0,5309.0,404.0,418.0,0.0,0.0,51.0,3.0
2008-12-01,0.0,0.0,2532.0,314.0,203.0,2448.0,0.0,143.0,9.0,394.0,2697.0,1571.0,1.0,71.0,164.0,29.0,136.0,15.0,1136.0,0.0,3.0,0.0,53.0,0.0,0.0,0.0,1959.0,0.0,0.0,227.0,169.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,179.0,580.0,0.0,87.0,250.0,586.0,0.0,735.0,76.0,408.0,84.0,1327.0,0.0,0.0,51.0,0.0,0.0,0.0,263.0,0.0,0.0,433.0,0.0,0.0,3.0,13.0,41.0,0.0,0.0,957.0,435.0,0.0,0.0,970.0,102.0,92.0,0.0,0.0,0.0,234.0,1342.5,2386.0,220.0,15.0,0.0,133.0,584.0,155.0,2371.0,0.0,0.0,0.0,1115.0,0.0,1401.0,1397.0,433.0,0.0,3311.0,0.0,2180.0,0.0,0.0,0.0,0.0,0.0,43.0,2414.0,0.0,1581.0,0.0,0.0,0.0,68.0,417.0,0.0,0.0,873.0,12822.0,131.5,0.0,3351.0,2065.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,85.0,0.0,704.0,1298.0,2386.0,1111.0,270.0,444.0,1732.0,5946.0,174.0,430.0,0.0,0.0,81.0,0.0
2009-01-01,0.0,0.0,2688.0,425.0,197.0,1310.0,0.0,144.0,10.0,402.0,3258.0,1600.0,343.0,114.5,233.0,6.0,29.0,5.0,536.0,0.0,3.5,0.0,62.0,0.0,0.0,0.0,1281.0,0.0,0.0,228.0,179.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,157.0,590.0,0.0,266.0,45.0,935.0,0.0,562.0,71.0,402.0,99.0,1373.0,0.0,0.0,145.0,0.0,0.0,0.0,196.0,0.0,0.0,334.0,0.0,0.0,5.0,14.0,53.0,25.0,0.0,970.0,483.0,0.0,0.0,1165.0,290.0,167.0,0.0,0.0,0.0,213.0,1557.0,2338.0,417.0,0.0,0.0,140.0,884.0,183.0,2685.0,0.0,0.0,0.0,1276.0,0.0,1519.0,1668.0,341.0,0.0,3116.0,540.0,2537.0,0.0,0.0,0.0,0.0,0.0,13.0,2479.5,0.0,751.0,0.0,0.0,0.0,55.0,474.0,0.0,0.0,1191.0,4648.0,98.0,0.0,1918.0,1003.0,0.0,0.0,0.0,64.0,7.0,0.0,0.0,199.0,0.0,731.5,1573.0,2563.0,498.0,184.0,141.0,827.0,2885.0,762.0,430.0,0.0,0.0,90.0,0.0
2009-02-01,0.0,0.0,2435.0,332.0,137.0,1565.0,0.0,141.0,8.0,432.0,1989.0,1459.0,43.0,83.5,198.0,95.0,108.0,5.0,829.0,0.0,3.0,0.0,61.0,0.0,0.0,0.0,1026.0,0.0,0.0,166.0,150.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,159.0,508.0,0.0,110.0,195.0,518.0,0.0,435.0,54.0,396.0,91.0,926.0,0.0,0.0,25.5,0.0,0.0,0.0,217.0,0.0,0.0,304.0,0.0,0.0,28.0,11.0,42.0,0.0,0.0,747.0,499.0,0.0,0.0,926.0,51.0,87.0,0.0,0.0,0.0,206.0,1618.0,2032.0,369.0,0.0,0.0,132.0,613.0,178.0,2020.0,0.0,0.0,0.0,1169.0,0.0,1292.0,1522.0,430.0,0.0,2898.0,980.0,1529.0,0.0,0.0,0.0,12.0,0.0,58.0,2367.0,0.0,1178.0,0.0,0.0,0.0,47.0,436.0,0.0,0.0,655.0,6264.0,108.5,0.0,2301.0,1271.0,0.0,0.0,0.0,89.0,7.0,0.0,0.0,104.0,0.0,524.5,1136.0,2302.0,605.0,141.0,325.0,1293.0,3714.0,216.0,394.0,0.0,0.0,123.0,0.0
2009-03-01,0.0,0.0,2205.0,325.0,215.0,1357.0,0.0,161.0,7.0,425.0,2366.0,1470.0,203.0,86.5,263.0,27.0,106.0,5.0,917.0,0.0,2.0,0.0,68.0,0.0,0.0,0.0,1955.0,0.0,0.0,1.0,156.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,156.0,398.0,0.0,287.0,155.0,918.0,0.0,685.0,57.0,361.0,92.0,862.0,0.0,0.0,45.0,0.0,0.0,0.0,190.0,0.0,0.0,321.0,0.0,0.0,2.0,9.0,40.0,0.0,47.0,783.0,622.0,0.0,0.0,1098.0,90.0,77.0,0.0,0.0,0.0,314.0,1272.5,1613.0,438.0,0.0,0.0,139.0,0.0,196.0,1462.0,0.0,0.0,0.0,1184.0,0.0,1291.0,956.0,494.0,0.0,3280.0,935.0,1850.0,0.0,0.0,0.0,2.0,0.0,74.0,2222.0,0.0,1356.0,0.0,0.0,0.0,36.0,421.0,0.0,0.0,775.0,6360.0,95.0,0.0,2201.0,1569.0,0.0,0.0,0.0,87.0,12.0,0.0,0.0,9.0,0.0,497.5,1015.0,2085.0,306.0,140.0,243.0,1400.0,4100.0,347.0,398.0,0.0,0.0,133.0,2.0
2009-04-01,0.0,0.0,2180.0,200.0,0.0,1531.0,0.0,0.0,4.0,0.0,0.0,1043.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,1393.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,267.0,0.0,534.0,0.0,743.0,0.0,380.0,0.0,0.0,0.0,612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1156.0,0.0,0.0,0.0,0.0,0.0,191.0,541.5,275.5,568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1253.0,0.0,367.0,0.0,1289.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1872.5,0.0,0.0,0.0,0.0,0.0,0.0,345.0,0.0,0.0,646.0,7511.0,0.0,0.0,2264.0,1192.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,190.0,0.0,361.5,753.0,2087.0,0.0,144.0,0.0,0.0,3879.0,0.0,419.0,0.0,0.0,111.0,2.0
2009-05-01,0.0,0.0,1514.0,89.0,0.0,2116.0,50.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,2032.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,477.0,0.0,869.0,0.0,0.0,0.0,0.0,0.0,671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,0.0,0.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678.5,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,0.0,0.0,9699.0,0.0,0.0,2916.0,1841.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,335.5,740.0,1357.0,0.0,140.0,0.0,0.0,5746.0,0.0,415.0,0.0,0.0,0.0,0.0
2009-06-01,0.0,0.0,1701.0,120.0,0.0,1768.0,118.0,0.0,3.0,0.0,0.0,766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,2426.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.0,0.0,837.0,0.0,564.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907.0,0.0,418.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8887.0,0.0,0.0,2706.0,2290.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1517.0,0.0,155.0,0.0,0.0,5873.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-07-01,0.0,0.0,1910.0,246.0,0.0,2074.0,113.0,0.0,2.0,0.0,0.0,954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,2236.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,550.0,0.0,825.0,0.0,447.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,898.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1145.0,0.0,498.0,0.0,0.0,2401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9282.0,0.0,0.0,3127.0,2357.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1616.0,0.0,183.0,0.0,0.0,6060.0,0.0,0.0,0.0,0.0,0.0,0.0
