freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2008-01 	2008-02 	2008-03 	2008-04 	2008-05 	2008-06 	2008-07 	2008-08 	2008-09 	2008-10 	2008-11 	2008-12 	2009-01 	2009-02 	2009-03 	2009-04 	2009-05 	2009-06 	2009-07 	2009-08 	2009-09 	2009-10 	2009-11 	2009-12 	2010-01 	2010-02 	2010-03 	2010-04 	2010-05 	2010-06 	2010-07 	2010-08 	2010-09 	2010-10 	2010-11 	2010-12 	2011-01 	2011-02 	2011-03 	2011-04 	2011-05 	2011-06 	2011-07 	2011-08 	2011-09 	2011-10 	2011-11 	2011-12 	2012-01 	2012-02 	2012-03 	2012-04 	2012-05 	2012-06 	2012-07 	2012-08 	2012-09 	2012-10 	2012-11 	2012-12 	2013-01 	2013-02 	2013-03 	2013-04 	2013-05 	2013-06 	2013-07 	2013-08 	2013-09 	2013-10 	2013-11 	2013-12 	2014-01 	2014-02 	2014-03 	2014-04 	2014-05 	2014-06 	2014-07 	2014-08 	2014-09 	2014-10 	2014-11 	2014-12 	2015-01 	2015-02 	2015-03 	2015-04 	2015-05 	2015-06 	2015-07 	2015-08 	2015-09 	2015-10 	2015-11 	2015-12 	2016-01 	2016-02 	2016-03 	2016-04 	2016-05 	2016-06 	2016-07 	2016-08 	2016-09 	2016-10 	2016-11 	2016-12 	2017-01 	2017-02 	2017-03 	2017-04 	2017-05 	2017-06 	2017-07 	2017-08 	2017-09 	2017-10 	2017-11 	2017-12 	2018-01 	2018-02 	2018-03 	2018-04 	2018-05 	2018-06 	2018-07 	2018-08 	2018-09 	2018-10 	2018-11 	2018-12 	2019-01 	2019-02 	2019-03 	2019-04 	2019-05 	2019-06 	2019-07 	2019-08 	2019-09 	2019-10 	2019-11 	2019-12 	2020-01 	2020-02 	2020-03 	2020-04 	2020-05 	2020-06 	2020-07 	2020-08 	2020-09 	2020-10 	2020-11 	2020-12 	2021-01 	2021-02 	2021-03 	2021-04 	2021-05 	2021-06 	2021-07 	2021-08 	2021-09 	2021-10 	2021-11 	2021-12 	2022-01 	2022-02 	2022-03 	2022-04 	2022-05 	2022-06 	2022-07 	2022-08 	2022-09 	2022-10 	2022-11 	2022-12 	2023-01 	2023-02 	2023-03 	2023-04 	2023-05 	2023-06 	2023-07 	2023-08 	2023-09 	2023-10 	2023-11 	2023-12 	2024-01 	2024-02 
M,DL,G3000,MIO_M3,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	2.366 	4.819 	5.111 	5.246 	5.030 	5.085 	4.913 	5.016 	3.978 	3.569 	3.849 	6.972 	4.768 	5.063 	5.157 	4.917 	4.657 	4.545 	4.411 	4.022 	3.470 	4.338 	4.206 	4.072 	4.306 	4.156 	4.167 	4.094 	3.870 	3.939 	3.569 	3.978 	4.253 	3.728 	3.811 	4.300 	4.327 	3.784 	4.143 	4.884 	3.167 	3.650 	3.674 	4.200 	3.820 	: 
M,DL,G3000,MIO_M3,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29.000 	28.000 	38.000 	35.000 	31.000 	29.000 	29.000 	23.000 	20.000 	20.000 	23.000 	31.000 	29.000 	29.000 	42.000 	29.000 	28.000 	24.000 	36.000 	36.000 	26.000 	28.000 	27.000 	48.000 	40.000 	43.000 	38.000 	29.000 	37.000 	29.000 	41.000 	32.000 	34.000 	55.000 	42.000 	45.000 	72.000 	40.000 	30.000 	42.000 	48.000 	42.000 	39.000 	47.000 	44.000 	36.000 	38.000 	51.000 	27.000 	47.000 	43.000 	57.000 	40.000 	38.000 	49.000 	49.000 	47.000 	21.000 	23.000 	34.000 	43.000 	29.000 	43.000 	49.000 	47.000 	38.000 	44.000 	28.000 	46.000 	30.000 	41.000 	34.000 	29.674 	26.263 	44.825 	37.396 	31.496 	37.221 	31.561 	33.955 	35.365 	33.698 	24.680 	36.472 	38.016 	24.087 	28.832 	33.169 	37.826 	24.066 	25.325 	26.720 	31.047 	30.329 	25.800 	39.692 	27.980 	29.750 	24.096 	22.939 	27.355 	26.051 	20.627 	16.386 	11.925 	17.413 	11.243 	11.192 	14.538 	9.189 	8.625 	11.528 	14.536 	9.702 	9.114 	9.800 	8.037 	10.937 	10.065 	9.981 	9.425 	10.163 
M,DL,G3000,MIO_M3,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	6.200 	5.000 	4.800 	5.500 	4.800 	4.200 	4.900 	4.700 	4.200 	4.600 	5.300 	6.300 	6.000 	6.500 	5.800 	5.400 	7.400 	5.500 	5.700 	5.900 	5.000 	9.400 	6.100 	5.700 	8.700 	6.500 	12.100 	10.300 	9.900 	8.100 	9.600 	8.200 	6.500 	7.700 	11.000 	10.800 	8.800 	7.800 	14.900 	12.200 	12.400 	7.000 	7.000 	5.300 	5.600 	5.400 	5.800 	6.300 	6.000 	5.600 	11.500 	10.000 	9.800 	6.700 	5.900 	6.600 	5.200 	7.000 	7.700 	6.700 	12.200 	10.200 	11.500 	15.800 	11.900 	15.300 	16.900 	13.400 	11.400 	15.500 	16.400 	17.900 	16.200 	15.500 	17.900 	19.300 	13.100 	10.000 	6.500 	4.900 	4.200 	3.200 	8.100 	6.400 	8.800 	7.600 p
M,DL,G3000,MIO_M3,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23.000 	23.000 	20.000 	17.000 	18.000 	10.000 	16.000 	16.000 	16.000 	13.000 	10.000 	19.000 	22.000 	18.000 	12.000 	7.000 	4.000 	6.000 	12.000 	19.000 	9.000 	14.000 	19.000 	31.000 	30.000 	14.000 	11.000 	10.000 	11.000 	12.000 	9.000 	11.000 	8.000 	17.000 	23.000 	29.000 	29.000 	23.000 	18.000 	16.000 	15.000 	14.000 	13.000 	14.000 	13.000 	14.000 	23.000 	24.000 	26.000 	23.000 	20.000 	8.000 	6.000 	10.000 	11.000 	9.000 	13.000 	9.000 	14.000 	15.000 	9.000 	5.000 	7.000 	7.000 	5.000 	5.000 	5.000 	5.000 	3.000 	5.000 	3.000 	5.000 	4.800 	3.469 	3.350 	3.754 	2.186 	2.977 	3.100 	3.092 	3.826 	2.214 	4.307 	3.337 	4.445 	4.333 	3.860 	6.044 	4.506 	6.879 	4.999 	4.045 	3.644 	16.626 	9.663 	11.851 	9.869 	10.291 	10.581 	6.133 	8.427 	5.632 	11.330 	10.056 	14.171 	11.548 	7.848 	11.280 	6.784 	7.710 	5.127 	7.739 	5.849 	6.429 	12.286 	13.661 	11.991 	13.797 	13.668 	11.983 	14.496 	13.839 p
M,DL,G3000,MIO_M3,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
M,DL,G3000,MIO_M3,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21.000 p	21.000 	18.000 	15.000 	13.000 	7.000 	7.000 	7.000 	7.000 	12.000 	15.000 	31.000 	21.000 	20.000 	17.000 	13.000 	9.000 	7.000 	7.000 	6.000 	7.000 	14.000 	16.000 	20.000 	17.000 	13.000 	13.000 	10.000 	7.000 	5.000 	5.000 	5.000 	6.000 	10.000 	13.000 	8.000 	22.000 	16.000 	14.000 	12.000 	7.000 	7.000 	7.000 	8.000 	9.000 	14.000 	16.000 	-26.000 	18.000 	20.000 	19.000 	9.000 	9.000 	7.000 	7.000 	9.000 	10.000 	12.000 	16.000 	-6.000 	1.000 	19.000 p	16.000 	12.000 	14.000 	13.000 	12.000 	11.000 	11.000 	12.000 	17.000 	-8.000 	16.740 	15.376 	15.294 	11.392 	11.966 	10.102 	8.828 	18.637 	-6.402 	12.123 	12.701 	15.664 	21.254 	21.844 	20.771 	15.348 	7.352 	2.377 	3.605 	2.906 	3.118 	5.607 	11.187 	16.771 	23.511 	22.104 	19.294 	6.810 	4.624 	1.659 	0.671 	0.717 	2.738 	9.563 	14.208 	17.948 	18.153 	17.796 	17.186 	6.212 	5.997 	1.540 	1.451 	0.309 	1.252 	5.547 	9.843 	13.158 	11.553 	15.332 p
M,DL,G3000,MIO_M3,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	0.000 	0.000 	: 	: 	: 
M,DL,G3000,MIO_M3,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.000 	1.000 	1.000 	1.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	1.000 	1.000 	1.000 	1.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	1.000 	1.000 	1.000 	1.000 	0.000 	0.000 	0.000 	1.000 	0.000 	0.000 	0.000 	1.000 	1.000 	1.000 	1.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.313 	0.306 	0.225 	0.146 	0.102 	0.061 	0.057 	0.044 	0.079 	0.098 	0.151 	0.220 	0.435 	0.373 	0.289 	0.197 	0.116 	0.047 	0.032 	0.028 	0.053 	0.103 	0.182 	0.262 	0.255 	0.242 	0.226 	0.140 	0.070 	0.049 	0.031 	0.035 	0.060 	0.059 	0.385 	1.032 	1.143 	1.006 	1.062 	0.902 	0.802 	0.753 	0.682 	0.673 	0.648 	0.650 	0.758 	0.987 	1.293 	1.095 
M,DL,G3000,MIO_M3,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	0.000 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
M,DL,G3000,MIO_M3,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	3.378 	2.267 	2.554 	1.804 	0.815 	2.689 	2.302 	2.325 	2.217 	2.635 	2.182 	1.983 	7.706 	3.913 	4.260 	6.721 	5.960 	6.187 	5.865 	4.210 	4.436 	4.611 	7.624 	7.748 	7.360 	7.196 	8.969 	8.589 	2.699 	6.420 	1.695 	6.406 	4.465 	4.620 	7.396 	5.355 	5.355 	7.501 	6.774 	2.949 	5.973 	6.503 	3.785 	4.996 	13.655 	2.879 	8.401 	2.273 	7.901 	5.477 
