freq,nrg_cons,nrg_prc,currency,geo\TIME_PERIOD	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,KWH1000-2499,ALLOW_OTH,EUR,AT	: 	: 	: 	: 	: 	-0.0203 e	-0.0732 e
A,KWH1000-2499,ALLOW_OTH,EUR,BE	: 	: 	: 	: 	: 	0.0000 	0.0000 
A,KWH1000-2499,ALLOW_OTH,EUR,CY	: 	: 	: 	: 	: 	0.0282 	0.0000 
A,KWH1000-2499,ALLOW_OTH,EUR,CZ	: 	: 	: 	: 	: 	-0.0541 	: 
A,KWH1000-2499,ALLOW_OTH,EUR,EE	: 	: 	: 	: 	: 	0.0000 	0.0000 
A,KWH1000-2499,ALLOW_OTH,EUR,EL	: 	: 	: 	: 	: 	0.1842 	: 
A,KWH1000-2499,ALLOW_OTH,EUR,FI	: 	: 	: 	: 	: 	0.0013 e	0.0011 
A,KWH1000-2499,ALLOW_OTH,EUR,IE	: 	: 	: 	: 	: 	0.1755 	: 
A,KWH1000-2499,ALLOW_OTH,EUR,IS	: 	: 	: 	: 	: 	0.0000 	: 
A,KWH1000-2499,ALLOW_OTH,EUR,LI	: 	: 	: 	: 	: 	0.0000 	0.0000 
A,KWH1000-2499,ALLOW_OTH,EUR,LU	: 	: 	: 	: 	: 	0.0000 	: 
A,KWH1000-2499,ALLOW_OTH,EUR,MD	: 	: 	: 	: 	: 	0.0000 	0.0000 
A,KWH1000-2499,ALLOW_OTH,EUR,MT	: 	: 	: 	: 	: 	0.0000 	0.0000 
A,KWH1000-2499,ALLOW_OTH,EUR,NL	: 	: 	: 	: 	: 	0.0763 	: 
A,KWH1000-2499,ALLOW_OTH,EUR,NO	: 	: 	: 	: 	: 	0.0894 	: 
A,KWH1000-2499,ALLOW_OTH,EUR,PL	: 	: 	: 	: 	: 	0.0000 	: 
A,KWH1000-2499,ALLOW_OTH,EUR,RS	: 	: 	: 	: 	: 	0.0000 	0.0000 
A,KWH1000-2499,ALLOW_OTH,EUR,SE	: 	: 	: 	: 	: 	0.0584 	: 
A,KWH1000-2499,ALLOW_OTH,EUR,SI	: 	: 	: 	: 	: 	0.0000 	0.0000 
A,KWH1000-2499,ALLOW_OTH,NAC,AT	: 	: 	: 	: 	: 	: 	-0.0732 e
A,KWH1000-2499,ALLOW_OTH,NAC,BE	: 	: 	: 	: 	: 	: 	0.0000 
A,KWH1000-2499,ALLOW_OTH,NAC,CY	: 	: 	: 	: 	: 	: 	0.0000 
A,KWH1000-2499,ALLOW_OTH,NAC,EE	: 	: 	: 	: 	: 	: 	0.0000 
