MeasureItem;Month;Year;Category;Country;MeasureItemID;CreationDate;Representativity;ProvidedValue;ProvidedValueCode
Monthly Domestic Values;1;2021;Biomass;AT;B01;12/04/2023 11:27;100;136.305;
Monthly Domestic Values;2;2021;Biomass;AT;B01;12/04/2023 11:27;100;121.731;
Monthly Domestic Values;3;2021;Biomass;AT;B01;12/04/2023 11:27;100;136.738;
Monthly Domestic Values;4;2021;Biomass;AT;B01;12/04/2023 11:27;100;128.891;
Monthly Domestic Values;5;2021;Biomass;AT;B01;12/04/2023 11:27;100;129.449;
Monthly Domestic Values;6;2021;Biomass;AT;B01;12/04/2023 11:27;100;106.035;
Monthly Domestic Values;7;2021;Biomass;AT;B01;12/04/2023 11:27;100;117.665;
Monthly Domestic Values;8;2021;Biomass;AT;B01;12/04/2023 11:27;100;117.675;
Monthly Domestic Values;9;2021;Biomass;AT;B01;12/04/2023 11:27;100;109.79;
Monthly Domestic Values;10;2021;Biomass;AT;B01;12/04/2023 11:27;100;119.022;
Monthly Domestic Values;11;2021;Biomass;AT;B01;12/04/2023 11:27;100;111.736;
Monthly Domestic Values;12;2021;Biomass;AT;B01;12/04/2023 11:27;100;106.253;
Monthly Domestic Values;1;2021;Fossil Gas;AT;B04;12/04/2023 11:27;100;1456.7915;
Monthly Domestic Values;2;2021;Fossil Gas;AT;B04;12/04/2023 11:27;100;1148.5454;
Monthly Domestic Values;3;2021;Fossil Gas;AT;B04;12/04/2023 11:27;100;1104.6356;
Monthly Domestic Values;4;2021;Fossil Gas;AT;B04;12/04/2023 11:27;100;850.8274;
Monthly Domestic Values;5;2021;Fossil Gas;AT;B04;12/04/2023 11:27;100;270.1568;
Monthly Domestic Values;6;2021;Fossil Gas;AT;B04;12/04/2023 11:27;100;76.9202;
Monthly Domestic Values;7;2021;Fossil Gas;AT;B04;12/04/2023 11:27;100;77.5094;
Monthly Domestic Values;8;2021;Fossil Gas;AT;B04;12/04/2023 11:27;100;56.6983;
Monthly Domestic Values;9;2021;Fossil Gas;AT;B04;12/04/2023 11:27;100;187.0679;
Monthly Domestic Values;10;2021;Fossil Gas;AT;B04;12/04/2023 11:27;100;932.837;
Monthly Domestic Values;11;2021;Fossil Gas;AT;B04;12/04/2023 11:27;100;1663.9048;
Monthly Domestic Values;12;2021;Fossil Gas;AT;B04;12/04/2023 11:27;100;1570.6499;
Monthly Domestic Values;1;2021;Fossil Hard coal;AT;B05;12/04/2023 11:27;100;0;
Monthly Domestic Values;2;2021;Fossil Hard coal;AT;B05;12/04/2023 11:27;100;0;
Monthly Domestic Values;3;2021;Fossil Hard coal;AT;B05;12/04/2023 11:27;100;0;
Monthly Domestic Values;4;2021;Fossil Hard coal;AT;B05;12/04/2023 11:27;100;0;
Monthly Domestic Values;5;2021;Fossil Hard coal;AT;B05;12/04/2023 11:27;100;0;
Monthly Domestic Values;6;2021;Fossil Hard coal;AT;B05;12/04/2023 11:27;100;0;
Monthly Domestic Values;7;2021;Fossil Hard coal;AT;B05;12/04/2023 11:27;100;0;
Monthly Domestic Values;8;2021;Fossil Hard coal;AT;B05;12/04/2023 11:27;100;0;
