freq,unit,product,indic_nrg,geo\TIME_PERIOD	2008-01 	2008-02 	2008-03 	2008-04 	2008-05 	2008-06 	2008-07 	2008-08 	2008-09 	2008-10 	2008-11 	2008-12 	2009-01 	2009-02 	2009-03 	2009-04 	2009-05 	2009-06 	2009-07 	2009-08 	2009-09 	2009-10 	2009-11 	2009-12 	2010-01 	2010-02 	2010-03 	2010-04 	2010-05 	2010-06 	2010-07 	2010-08 	2010-09 	2010-10 	2010-11 	2010-12 	2011-01 	2011-02 	2011-03 	2011-04 	2011-05 	2011-06 	2011-07 	2011-08 	2011-09 	2011-10 	2011-11 	2011-12 	2012-01 	2012-02 	2012-03 	2012-04 	2012-05 	2012-06 	2012-07 	2012-08 	2012-09 	2012-10 	2012-11 	2012-12 	2013-01 	2013-02 	2013-03 	2013-04 	2013-05 	2013-06 	2013-07 	2013-08 	2013-09 	2013-10 	2013-11 	2013-12 	2014-01 	2014-02 	2014-03 	2014-04 	2014-05 	2014-06 	2014-07 	2014-08 	2014-09 	2014-10 	2014-11 	2014-12 	2015-01 	2015-02 	2015-03 	2015-04 	2015-05 	2015-06 	2015-07 	2015-08 	2015-09 	2015-10 	2015-11 	2015-12 	2016-01 	2016-02 	2016-03 	2016-04 	2016-05 	2016-06 	2016-07 	2016-08 	2016-09 	2016-10 	2016-11 	2016-12 	2017-01 	2017-02 	2017-03 	2017-04 	2017-05 	2017-06 	2017-07 	2017-08 	2017-09 	2017-10 	2017-11 	2017-12 	2018-01 	2018-02 	2018-03 	2018-04 	2018-05 	2018-06 	2018-07 	2018-08 	2018-09 	2018-10 	2018-11 	2018-12 	2019-01 	2019-02 	2019-03 	2019-04 	2019-05 	2019-06 	2019-07 	2019-08 	2019-09 	2019-10 	2019-11 	2019-12 
M,MIO_M3,4100,10_128101,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
M,MIO_M3,4100,10_128101,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5202 	4227 	3300 	3362 	4373 	5264 	6258 	7124 	8045 	8289 	8149 	7715 	6480 	5224 	3750 	2533 	2389 	3182 	4120 	5108 	5934 	6549 	6704 	6202 	5441 	4388 	3759 	3354 	3870 	4621 	5695 	7002 	7899 	8445 	8186 	7236 	5467 	3575 	2220 	1596 	1877 	2633 	3372 	4688 	6322 	7510 	7980 	7543 	5896 	4406 	2802 	1661 	2433 	3201 	4034 	4857 	5820 	6443 	7008 	6837 	5897 	4679 	4225 	4603 	5553 	6530 	7534 	8381 	8863 	9126 	9122 	9088 
M,MIO_M3,4100,10_128101,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	514 	475 	471 	563 	542 	606 	618 	767 	935 	832 	865 	827 	689 	568 	388 	339 	277 	200 	251 	401 	393 	530 	551 	499 	578 	425 	228 	188 	258 	304 	397 	527 	670 	781 	753 	722 	671 	441 	278 	200 	210 	273 	373 	539 	676 	733 	726 	793 	396 	271 	157 	82 	32 	200 	311 	482 	584 	601 	534 	548 	492 	357 	318 	463 	484 	563 	731 	834 	954 	964 	1011 	910 
M,MIO_M3,4100,10_128101,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	359 	273 	199 	215 	261 	312 	385 	407 	396 	446 	467 	422 	379 	301 	229 	167 	164 	164 	181 	275 	319 	385 	442 	434 	383 	292 	210 	145 	146 	196 	254 	338 	395 	412 	438 	416 	361 	268 	194 	150 	163 	212 	278 	361 	403 	448 	459 	435 	361 	265 	191 	141 	169 	219 	306 	359 	412 	455 	455 	436 	356 	258 	180 	134 	152 	231 	318 	395 	454 	519 	536 	504 
M,MIO_M3,4100,10_128101,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,MIO_M3,4100,10_128101,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2168 p	1601 	1102 	888 	1279 	1822 	2208 	2594 	2842 	2913 	2926 	2676 	2153 	1506 	785 	262 	274 	680 	1241 	1744 	2407 	2757 	2617 	2276 	2006 	1350 	1046 	679 	637 	1037 	1735 	2450 	2832 	3057 	2990 	2613 	1855 	979 	558 	456 	642 	997 	1809 	2327 	2713 	2940 	3055 	2709 	2247 	1492 	681 	191 	508 	893 	1301 	1717 	2285 	2608 	2839 	2629 	2205 	1578 p	1238 	1183 	1501 	1980 	2684 	2998 	3272 	3334 	3336 	3315 
M,MIO_M3,4100,10_128101,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16631 	14982 	13974 	13665 	14743 	15933 	17021 	18338 	19824 	20558 	21250 	20113 	16825 	12773 	8139 	6705 	6287 	7967 	9901 	12644 	14913 	16710 	17101 	17383 	16655 	12209 	10623 	9432 	11304 	12969 	15081 	17570 	19473 	20488 	20979 	18391 	14881 	8824 	6249 	6157 	6649 	8381 	10767 	13781 	16878 	18147 	19813 	17888 	14309 	11571 	6035 	3281 	4670 	7834 	10059 	12521 	15478 	17216 	18795 	17742 	18743 	15345 	13279 	13341 	15483 	17681 	20435 	21472 	23248 	23866 	24152 	24044 
M,MIO_M3,4100,10_128101,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2315 	2119 	2003 	1980 	1963 	2085 	2102 	2165 	2276 	2364 	2387 	2371 	2305 	2038 	1776 	1635 	1590 	1678 	1794 	1933 	2079 	2196 	2232 	2245 	2206 	2001 	1849 	1752 	1744 	1923 	2069 	2199 	2285 	2300 	2338 	2226 	2084 	1911 	1694 	1565 	1581 	1642 	1750 	1962 	2162 	2229 	2278 	2251 	2150 	1887 	1611 	1512 	1512 	1592 	1713 	1873 	1997 	2120 	2213 	2193 	2154 	1942 	1893 	1880 	1949 	2044 	2157 	2241 	2284 	2271 	2283 	2285 
M,MIO_M3,4100,10_128101,EA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	50486 	43557 	37405 	35421 	39576 	45476 	51725 	58516 	64766 	67502 	69258 	65389 	55283 	42101 	29053 	22825 	23512 	29567 	36332 	45012 	70661 	77758 	79482 	76454 	70782 	56108 	46439 	38660 	43004 	51377 	60828 	71394 	79152 	83947 	84527 	74984 	71549 p	51493 p	42335 p	39784 p	43245 p	50950 p	58385 p	67606 p	78692 p	84528 p	89060 p	81032 p	63907 	50498 	32752 	23123 	29746 	40724 	50603 	60410 	71220 	79584 	83663 	78830 	73042 p	58177 	49060 	48597 	55378 p	64897 p	75873 	83716 	91435 p	95865 p	96601 p	92903 
M,MIO_M3,4100,10_128101,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
