GWh,Albania,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Italy,Kosovo,Latvia,Lithuania,Luxembourg,Malta,Moldova,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Turkey,Ukraine,United Kingdom
2016-01 ,0.0,9305.0,15744.0,0.0,8508.0,2160.0,755.0,14501.0,6843.0,2178.0,14193.0,111718.0,0.0,97553.0,8527.0,5576.0,0.0,5106.0,44607.0,0.0,1298.0,725.0,386.0,118.0,0.0,392.0,20132.0,1182.0,32496.0,27575.0,11200.0,11236.0,7268.0,4324.0,2453.0,44914.0,32872.0,44160.0,0.0,61620.0
2016-02 ,0.0,10357.0,13934.0,0.0,6732.0,2460.0,631.0,13437.0,5511.0,1484.0,12257.0,103492.0,0.0,90260.0,6437.0,5010.0,0.0,4908.0,41447.0,0.0,886.0,682.0,386.0,88.0,0.0,402.0,18038.0,839.0,27955.0,24826.0,10976.0,9562.0,7123.0,4440.0,2448.0,42810.0,30236.0,39338.0,0.0,50410.0
2016-03 ,0.0,9442.0,14554.0,0.0,6528.0,2646.0,611.0,14827.0,5028.0,1344.0,12467.0,103552.0,0.0,88919.0,6642.0,5051.0,0.0,5008.0,42299.0,0.0,1154.0,538.0,380.0,86.0,0.0,606.0,19434.0,908.0,22441.0,25268.0,9921.0,9903.0,7421.0,4440.0,2678.0,45123.0,29590.0,41610.0,0.0,58081.0
2016-04 ,0.0,9811.0,12790.0,0.0,5340.0,1892.0,581.0,12958.0,4692.0,1482.0,11119.0,85117.0,0.0,78215.0,5861.0,4465.0,0.0,4658.0,38873.0,0.0,1188.0,523.0,372.0,80.0,0.0,449.0,17282.0,717.0,23229.0,23598.0,9882.0,9911.0,6028.0,3570.0,2468.0,42346.0,26380.0,40172.0,0.0,52972.0
2016-05 ,0.0,10584.0,11249.0,0.0,5644.0,1788.0,647.0,12575.0,3420.0,1224.0,9487.0,79607.0,0.0,74531.0,6123.0,4656.0,0.0,4448.0,41351.0,0.0,1050.0,484.0,336.0,74.0,0.0,0.0,15830.0,745.0,22441.0,22908.0,9477.0,8418.0,5862.0,3178.0,2621.0,39956.0,22985.0,41184.0,0.0,48307.0
2016-06 ,0.0,11504.0,10891.0,0.0,6322.0,1852.0,832.0,11300.0,2806.0,1326.0,8707.0,78719.0,0.0,74516.0,7900.0,4388.0,0.0,4346.0,42300.0,0.0,828.0,602.0,288.0,100.0,0.0,292.0,15430.0,693.0,21886.0,23116.0,8804.0,9390.0,5056.0,3176.0,2851.0,39493.0,18202.0,43126.0,0.0,47580.0
2016-07 ,0.0,11720.0,12183.0,0.0,6670.0,1672.0,1021.0,11176.0,3346.0,1668.0,8793.0,75754.0,0.0,74415.0,9272.0,5191.0,0.0,4670.0,47848.0,0.0,662.0,441.0,264.0,152.0,0.0,295.0,15594.0,723.0,20542.0,23910.0,9120.0,10210.0,5136.0,4118.0,2896.0,44108.0,19700.0,45825.0,0.0,46717.0
2016-08 ,0.0,10769.0,13256.0,0.0,6714.0,1744.0,1007.0,10854.0,3848.0,2012.0,9111.0,71018.0,0.0,75549.0,8579.0,4576.0,0.0,4722.0,41885.0,0.0,708.0,477.0,276.0,162.0,0.0,270.0,15980.0,665.0,20611.0,23682.0,8906.0,9447.0,5662.0,4166.0,2640.0,42470.0,20709.0,49499.0,0.0,46773.0
2016-09 ,0.0,9214.0,11536.0,0.0,6394.0,1540.0,827.0,10557.0,3249.0,1928.0,9039.0,71712.0,0.0,79782.0,7280.0,5070.0,0.0,4662.0,45374.0,0.0,534.0,563.0,280.0,140.0,0.0,302.0,18671.0,687.0,20942.0,23826.0,8692.0,8551.0,5319.0,3786.0,2431.0,41100.0,21700.0,40348.0,0.0,49203.0
2016-10 ,0.0,9993.0,11873.0,0.0,6542.0,2116.0,707.0,12643.0,5593.0,2132.0,11273.0,78627.0,0.0,86412.0,7713.0,5084.0,0.0,4858.0,45827.0,0.0,1058.0,625.0,312.0,132.0,0.0,375.0,21350.0,883.0,23972.0,26584.0,8314.0,9650.0,5992.0,3714.0,1743.0,42756.0,24214.0,41815.0,0.0,54250.0
