date,Albania,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Moldova,Netherlands,North Macedonia,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Turkey,Ukraine,United Kingdom
2011 ,0.0,28.259999999999998,26.32,22.3979,19.9203,21.6587,23.4813,37.4429,18.95,9.34,25.97,0.0,25.990000000000002,0.0,23.8313,24.04,27.509999999999998,18.8671,0.0,21.8142,25.77,0.0,26.669999999999998,10.2488,21.9819,26.33,12.1283,0.0,22.15,29.75,23.25,44.642199999999995,13.8012,0.0,18.2771
2012 ,0.0,30.84,28.299999999999997,27.7041,23.755000000000003,22.494100000000003,27.2802,35.8711,23.700000000000003,10.88,28.14,0.0,26.97,0.0,25.0287,26.82,31.939999999999998,24.173000000000002,0.0,26.6421,30.049999999999997,0.0,28.58,12.0244,22.3777,31.61,12.8026,0.0,24.92,36.96,28.75,45.0597,15.623000000000001,0.0,23.095799999999997
2013 ,0.0,31.02,29.03,27.7041,24.1333,25.613599999999998,26.8028,37.1802,24.509999999999998,10.6,29.86,0.0,30.51,34.71,22.9521,28.96,33.7,23.9914,0.0,28.9793,31.39,0.0,30.35,10.6339,23.117,34.69,13.6616,21.9133,23.73,30.950000000000003,30.990000000000002,46.8827,19.6161,0.0,24.094
2014 ,0.0,30.21,26.689999999999998,25.510199999999998,23.1209,24.3059,23.6828,32.7913,23.060000000000002,10.06,29.83,0.0,30.189999999999998,32.2,20.828,29.37,31.72,22.689999999999998,35.310500000000005,27.036,26.5,0.0,30.03,10.2127,23.8827,37.59,14.4983,22.2656,24.009999999999998,29.18,31.13,44.2916,15.6073,0.0,26.5071
2015 ,0.0,28.770000000000003,23.9,25.5646,21.8887,23.811799999999998,23.8801,33.3806,22.15,8.54,29.04,0.0,28.64,28.85,19.516599999999997,28.78,30.39,22.93,39.542,19.54,24.48,16.6982,28.59,9.6187,24.1447,38.53,14.400100000000002,25.6128,23.07,26.41,29.880000000000003,41.4625,18.034799999999997,0.0,27.0689
2016 ,0.0,26.62,21.82,18.938200000000002,16.3105,20.880200000000002,23.159799999999997,28.717200000000002,15.6,7.15,25.97,0.0,26.66,22.32,17.875799999999998,26.14,28.32,18.74,35.582300000000004,18.92,22.11,15.5027,27.939999999999998,6.2787,18.2432,34.59,14.592400000000001,18.8143,20.89,24.83,26.48,39.28,15.9438,5.0423,23.0036
2017 ,0.0,26.14,20.6053,18.0691,14.950399999999998,16.679299999999998,21.551299999999998,31.2776,18.2333,8.21,25.4305,0.0,24.67,0.0,16.3962,25.839999999999996,26.439999999999998,17.58,30.712500000000002,16.84,20.45,15.8495,27.09,20.6015,18.9918,28.99,0.0,17.5206,19.174799999999998,22.54,25.948999999999998,42.7598,12.208200000000001,13.6955,19.615099999999998
2018 ,0.0,25.8578,20.7913,18.9466,17.3638,17.1715,22.7286,31.827599999999997,18.3057,10.6206,26.2665,10.1184,24.5934,0.0,16.236,26.045299999999997,27.151899999999998,18.6342,28.3991,19.0758,20.163,13.7773,28.7331,18.8144,20.014,28.476399999999998,0.0,18.2035,19.536,22.7857,26.3829,43.4195,10.7421,12.6131,19.8104
2019 ,0.0,25.714399999999998,21.6263,19.5062,20.7267,18.564,24.0484,30.491100000000003,20.720200000000002,12.254,28.9846,10.5823,25.262900000000002,24.0812,17.168599999999998,27.619799999999998,29.6377,20.6768,31.418400000000002,20.304100000000002,21.6109,15.604300000000002,31.7557,25.596600000000002,22.4979,29.747999999999998,0.0,20.1482,21.603,24.392699999999998,28.5004,41.6019,11.290199999999999,14.5815,20.985500000000002
2020 ,0.0,24.7547,19.1254,21.413899999999998,17.160899999999998,18.2854,22.6052,25.4951,18.820700000000002,9.0647,27.436999999999998,9.7475,23.3801,19.761,15.744800000000001,25.4983,27.4862,15.559700000000001,32.9718,15.1853,19.7531,15.800799999999999,32.9767,21.8916,19.8013,29.119799999999998,0.0,19.4386,20.847,23.131500000000003,27.406000000000002,44.5346,12.3168,9.319400000000002,20.2122
2021 ,0.0,24.6417,18.6454,18.736600000000003,16.7971,18.029600000000002,22.220399999999998,31.7944,19.8619,10.81,26.7304,8.043199999999999,24.5666,18.8014,14.2952,25.22,25.843600000000002,14.348300000000002,29.5396,14.9649,19.8651,11.909400000000002,32.4582,20.127,17.9852,27.4718,0.0,17.2756,18.668,22.246000000000002,25.3659,52.3708,9.514800000000001,13.630700000000001,0.0
2022 ,0.0,37.5223,39.3053,24.8504,41.897,26.5137,37.8721,68.9058,57.8491,32.21,38.982299999999995,10.8306,34.7384,49.4544,23.5943,40.557900000000004,47.0347,32.2623,53.077,45.2773,44.2388,44.4257,49.4817,58.7851,35.7943,41.9035,0.0,19.5744,29.692999999999998,36.6816,43.9285,0.0,19.2863,0.0,0.0
