[Mm^3],Albania,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Italy,Kosovo,Latvia,Lithuania,Luxembourg,Malta,Moldova,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Turkey,Ukraine,United Kingdom
2008-01 ,0.0,207014.0,66795.0,36195.0,17918.0,0.0,145371.0,172532.0,0.0,0.0,637570.0,0.0,0.0,4099.0,158540.0,0.0,3445.0,1282217.0,0.0,52479.0,11535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113948.0,12841.0,16280.0,0.0,110933.0,0.0,152477.0,0.0,26194.0,0.0,360463.0
2008-02 ,0.0,166287.0,50702.0,30349.0,14784.0,0.0,117643.0,158856.0,0.0,0.0,512314.0,0.0,0.0,5706.0,120433.0,0.0,3524.0,1163231.0,0.0,36093.0,8781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96200.0,13041.0,10047.0,0.0,101750.0,0.0,131414.0,0.0,30200.0,0.0,294616.0
2008-03 ,0.0,130566.0,37783.0,25588.0,12037.0,0.0,97263.0,145881.0,0.0,0.0,408623.0,0.0,0.0,6990.0,96322.0,0.0,3405.0,1092289.0,0.0,21550.0,4799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77665.0,13207.0,12173.0,0.0,97265.0,0.0,119839.0,0.0,29065.0,0.0,241801.0
2008-04 ,0.0,117652.0,33973.0,23931.0,10492.0,0.0,91942.0,139244.0,0.0,0.0,366854.0,0.0,0.0,7256.0,90472.0,0.0,3445.0,1095413.0,0.0,12083.0,2529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70002.0,14348.0,15800.0,0.0,97094.0,0.0,122089.0,0.0,29322.0,0.0,261176.0
2008-05 ,0.0,143717.0,43475.0,27119.0,12695.0,0.0,112880.0,145750.0,0.0,0.0,437938.0,0.0,0.0,6002.0,117312.0,0.0,3445.0,1164146.0,0.0,13501.0,2269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86732.0,15203.0,25232.0,0.0,108949.0,0.0,132045.0,0.0,32543.0,0.0,402865.0
2008-06 ,0.0,192392.0,66234.0,32179.0,16868.0,0.0,150912.0,157514.0,0.0,0.0,573403.0,0.0,0.0,5343.0,164670.0,0.0,3445.0,1266712.0,0.0,20973.0,2306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112067.0,14926.0,38812.0,0.0,122460.0,0.0,158107.0,0.0,32528.0,0.0,404676.0
2008-07 ,0.0,247305.0,82215.0,36768.0,21408.0,0.0,186910.0,168604.0,0.0,0.0,710851.0,0.0,0.0,4028.0,198858.0,0.0,3445.0,1362532.0,0.0,32146.0,2417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132633.0,14909.0,52345.0,0.0,128204.0,0.0,171133.0,0.0,33450.0,0.0,405785.0
2008-08 ,0.0,293436.0,84991.0,41974.0,26460.0,0.0,210312.0,179073.0,0.0,0.0,832367.0,0.0,0.0,4822.0,226560.0,0.0,3445.0,1440104.0,0.0,45246.0,2343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148107.0,15089.0,69829.0,0.0,132693.0,0.0,172008.0,0.0,33898.0,0.0,406544.0
2008-09 ,0.0,320574.0,85465.0,45768.0,30868.0,0.0,220140.0,187009.0,0.0,0.0,930477.0,0.0,0.0,6204.0,255477.0,0.0,3484.0,1490968.0,0.0,53338.0,2306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157436.0,15176.0,84029.0,0.0,135277.0,0.0,180848.0,0.0,32714.0,0.0,412844.0
2008-10 ,0.0,330626.0,89036.0,46518.0,32843.0,0.0,221761.0,189992.0,0.0,0.0,973259.0,0.0,0.0,5969.0,245104.0,0.0,3088.0,1526477.0,0.0,54190.0,2492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161867.0,15365.0,97631.0,0.0,134946.0,0.0,200446.0,0.0,32637.0,0.0,460130.0
2008-11 ,0.0,320573.0,92141.0,46530.0,31656.0,0.0,210190.0,189296.0,0.0,0.0,934218.0,0.0,0.0,6744.0,241410.0,0.0,4514.0,1525562.0,0.0,49672.0,2530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161188.0,14955.0,107699.0,0.0,127665.0,0.0,211172.0,0.0,33326.0,0.0,458582.0
2008-12 ,0.0,285528.0,82049.0,45097.0,26984.0,0.0,183343.0,184668.0,0.0,0.0,796737.0,0.0,0.0,5668.0,224741.0,0.0,3366.0,1464869.0,0.0,43135.0,2940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153250.0,14104.0,116669.0,0.0,114585.0,0.0,200137.0,0.0,33345.0,0.0,432819.0
2009-01 ,0.0,225729.0,60008.0,41094.0,20897.0,0.0,138429.0,172446.0,0.0,0.0,588080.0,0.0,0.0,5927.0,197741.0,0.0,3366.0,1309269.0,0.0,33283.0,2568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132328.0,18074.0,118310.0,0.0,99160.0,0.0,181222.0,0.0,33144.0,0.0,347825.0
2009-02 ,0.0,162274.0,41818.0,36370.0,16882.0,0.0,93225.0,154831.0,0.0,0.0,365526.0,0.0,0.0,5871.0,131762.0,0.0,3445.0,1112711.0,0.0,21307.0,1786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105524.0,21731.0,112077.0,0.0,81996.0,0.0,167267.0,0.0,30740.0,0.0,263541.0
2009-03 ,0.0,122858.0,23694.0,35734.0,14530.0,0.0,57283.0,137240.0,0.0,0.0,234233.0,0.0,0.0,6101.0,77098.0,0.0,3524.0,979590.0,0.0,10647.0,1860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83271.0,20341.0,109463.0,0.0,67144.0,0.0,165298.0,0.0,32522.0,0.0,253759.0
2009-04 ,0.0,127348.0,15603.0,37222.0,15276.0,0.0,45190.0,131948.0,0.0,0.0,237131.0,0.0,0.0,7592.0,46298.0,0.0,3484.0,974750.0,0.0,3377.0,1748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75407.0,22288.0,117222.0,0.0,60287.0,0.0,161670.0,0.0,34658.0,0.0,295080.0
2009-05 ,0.0,163585.0,23601.0,39279.0,20071.0,0.0,67357.0,139428.0,0.0,0.0,352349.0,0.0,0.0,5919.0,46098.0,0.0,3445.0,1088136.0,0.0,861.0,1599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82579.0,25230.0,140318.0,0.0,76380.0,0.0,154278.0,0.0,33122.0,0.0,353915.0
2009-06 ,0.0,200974.0,43268.0,43591.0,26134.0,0.0,105046.0,147305.0,0.0,0.0,498282.0,0.0,0.0,6139.0,63654.0,0.0,3366.0,1220800.0,0.0,6828.0,2120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94060.0,27099.0,169161.0,0.0,105044.0,0.0,165244.0,0.0,30637.0,0.0,404858.0
2009-07 ,0.0,238920.0,61698.0,46176.0,30525.0,0.0,150095.0,157939.0,0.0,0.0,657075.0,0.0,0.0,7778.0,105241.0,0.0,3366.0,1338567.0,0.0,18804.0,2678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108337.0,29310.0,190130.0,0.0,121280.0,0.0,183262.0,0.0,30902.0,0.0,443509.0
2009-08 ,0.0,279846.0,70361.0,46475.0,32967.0,0.0,192153.0,172564.0,0.0,0.0,777775.0,0.0,0.0,7321.0,162231.0,0.0,3405.0,1427493.0,0.0,30355.0,2678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122796.0,26890.0,201468.0,0.0,134119.0,0.0,195977.0,0.0,33897.0,0.0,471607.0
2009-09 ,0.0,316004.0,72159.0,48210.0,34551.0,0.0,217244.0,186125.0,0.0,0.0,905459.0,0.0,0.0,5679.0,218605.0,0.0,3287.0,1495692.0,0.0,48218.0,2901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137798.0,24723.0,208315.0,0.0,150841.0,0.0,203706.0,0.0,155666.0,0.0,485399.0
2009-10 ,0.0,329236.0,72379.0,49847.0,33736.0,0.0,222299.0,192567.0,0.0,0.0,990892.0,0.0,0.0,4791.0,264479.0,0.0,3208.0,1080135.0,0.0,59850.0,3682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142955.0,26909.0,210066.0,0.0,162461.0,0.0,200297.0,0.0,171599.0,0.0,495029.0
2009-11 ,0.0,328720.0,73377.0,48810.0,30812.0,0.0,221870.0,193367.0,0.0,0.0,1000591.0,0.0,0.0,5293.0,297401.0,0.0,3208.0,1060514.0,0.0,59114.0,4129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136698.0,27309.0,203857.0,0.0,161830.0,0.0,199951.0,0.0,175749.0,0.0,501476.0
2009-12 ,0.0,312111.0,65995.0,45178.0,25877.0,0.0,217522.0,189512.0,0.0,0.0,899843.0,0.0,0.0,5152.0,309216.0,0.0,3248.0,967931.0,0.0,57331.0,4055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118154.0,22630.0,184626.0,0.0,154611.0,0.0,181213.0,0.0,169704.0,0.0,473320.0
2010-01 ,0.0,268364.0,48366.0,38551.0,19817.0,0.0,186522.0,174954.0,0.0,0.0,657222.0,0.0,0.0,5803.0,285471.0,0.0,3287.0,806310.0,0.0,43640.0,3497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84827.0,18818.0,159185.0,0.0,141816.0,0.0,151531.0,0.0,147809.0,0.0,382934.0
2010-02 ,0.0,211822.0,33521.0,31129.0,14575.0,0.0,147268.0,157218.0,0.0,0.0,442448.0,0.0,0.0,7181.0,248457.0,0.0,3445.0,648843.0,0.0,22872.0,2865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57256.0,20002.0,139048.0,0.0,119244.0,0.0,127587.0,0.0,123846.0,0.0,276836.0
2010-03 ,0.0,171809.0,19054.0,24649.0,11263.0,0.0,123364.0,146295.0,0.0,0.0,316046.0,0.0,0.0,6365.0,223544.0,0.0,3524.0,556565.0,0.0,8384.0,2716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46880.0,20588.0,124800.0,0.0,94241.0,0.0,108007.0,0.0,107876.0,0.0,221590.0
2010-04 ,0.0,170260.0,12287.0,23271.0,12461.0,0.0,112064.0,143609.0,0.0,0.0,304745.0,0.0,0.0,5250.0,221986.0,0.0,3564.0,560222.0,0.0,2159.0,2939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51100.0,17850.0,119064.0,0.0,71335.0,0.0,107496.0,0.0,101637.0,0.0,234438.0
2010-05 ,0.0,194379.0,16315.0,28045.0,17310.0,0.0,116355.0,150202.0,0.0,0.0,364725.0,0.0,0.0,6020.0,241170.0,0.0,3524.0,650138.0,0.0,3807.0,3311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67498.0,18107.0,126181.0,0.0,69135.0,0.0,117277.0,0.0,99606.0,0.0,282336.0
2010-06 ,0.0,225451.0,24544.0,31749.0,23040.0,0.0,132826.0,163421.0,0.0,0.0,510823.0,0.0,0.0,6865.0,263516.0,0.0,3564.0,765886.0,0.0,8684.0,3385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88354.0,19441.0,144148.0,0.0,89723.0,0.0,139399.0,0.0,110603.0,0.0,336977.0
2010-07 ,0.0,256801.0,31964.0,32190.0,28565.0,0.0,152966.0,178242.0,0.0,0.0,638665.0,0.0,0.0,6970.0,286979.0,0.0,3644.0,866546.0,0.0,20616.0,3310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104555.0,19208.0,165060.0,0.0,110617.0,0.0,155559.0,0.0,121923.0,0.0,238614.0
2010-08 ,0.0,283105.0,43736.0,32764.0,32516.0,0.0,175496.0,187811.0,0.0,0.0,673451.0,0.0,0.0,6781.0,313588.0,0.0,3644.0,952842.0,0.0,29897.0,3310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114313.0,18674.0,184413.0,0.0,127249.0,0.0,168339.0,0.0,125129.0,0.0,277124.0
2010-09 ,0.0,300985.0,49569.0,33085.0,34093.0,0.0,193457.0,190781.0,0.0,0.0,912001.0,0.0,0.0,6026.0,342690.0,0.0,3604.0,1035864.0,0.0,28749.0,3348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120029.0,18581.0,199055.0,0.0,146337.0,0.0,177912.0,0.0,120679.0,0.0,301870.0
2010-10 ,0.0,300627.0,54576.0,32822.0,34433.0,0.0,201323.0,192644.0,0.0,0.0,930436.0,0.0,0.0,5348.0,350217.0,0.0,3512.0,1104824.0,0.0,27591.0,3423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117542.0,19348.0,202576.0,0.0,157540.0,0.0,182783.0,0.0,125299.0,0.0,309560.0
2010-11 ,0.0,290575.0,56405.0,32831.0,34211.0,0.0,198879.0,192797.0,0.0,0.0,871752.0,0.0,0.0,6010.0,338593.0,0.0,3450.0,1121703.0,0.0,25041.0,3312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114969.0,22286.0,193422.0,0.0,156713.0,0.0,177726.0,0.0,153924.0,0.0,292993.0
2010-12 ,0.0,263277.0,51631.0,32585.0,30743.0,0.0,164011.0,183872.0,0.0,0.0,698774.0,0.0,0.0,5946.0,314257.0,0.0,3458.0,1024471.0,0.0,12992.0,3275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99850.0,23145.0,173802.0,0.0,158131.0,0.0,155808.0,0.0,163089.0,0.0,221409.0
2011-01 ,0.0,223861.0,42023.0,29137.0,25701.0,0.0,105076.0,171310.0,0.0,0.0,499614.0,0.0,0.0,5615.0,257444.0,0.0,3721.0,865326.0,0.0,3544.0,3498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58110.0,19249.0,154466.0,0.0,142003.0,0.0,130541.0,0.0,141536.0,0.0,145006.0
2011-02 ,0.0,191160.0,30208.0,22809.0,20697.0,0.0,85759.0,163796.0,0.0,0.0,353699.0,0.0,0.0,6279.0,191554.0,0.0,3828.0,733806.0,0.0,3216.0,3498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33470.0,18158.0,140197.0,0.0,108450.0,0.0,108216.0,0.0,107083.0,0.0,111312.0
2011-03 ,0.0,174154.0,16043.0,16969.0,15805.0,0.0,75219.0,161233.0,0.0,0.0,288476.0,0.0,0.0,6887.0,151047.0,0.0,3672.0,637184.0,0.0,2794.0,3498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22462.0,17300.0,132042.0,0.0,86489.0,0.0,101376.0,0.0,80655.0,0.0,107694.0
2011-04 ,0.0,207531.0,12415.0,15540.0,14792.0,0.0,92308.0,166990.0,0.0,0.0,340237.0,0.0,0.0,6110.0,145160.0,0.0,3672.0,644652.0,0.0,2153.0,3684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32386.0,21277.0,133318.0,0.0,78500.0,0.0,121475.0,0.0,76329.0,0.0,151707.0
2011-05 ,0.0,269277.0,23710.0,20767.0,17250.0,0.0,127505.0,175748.0,0.0,0.0,465066.0,0.0,0.0,5667.0,162595.0,0.0,3530.0,757123.0,0.0,4009.0,3833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54373.0,24608.0,144260.0,0.0,95298.0,0.0,138799.0,0.0,95534.0,0.0,209905.0
2011-06 ,0.0,333567.0,35410.0,28107.0,20754.0,0.0,154314.0,183531.0,0.0,0.0,583752.0,0.0,0.0,6420.0,186073.0,0.0,3380.0,876719.0,0.0,16337.0,3833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83000.0,23916.0,160255.0,0.0,131780.0,0.0,148576.0,0.0,126442.0,0.0,251633.0
2011-07 ,0.0,398572.0,41295.0,31536.0,23898.0,0.0,175234.0,189851.0,0.0,0.0,699571.0,0.0,0.0,6484.0,208490.0,0.0,3293.0,982599.0,0.0,29969.0,3796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108417.0,23983.0,176773.0,0.0,165353.0,0.0,162802.0,0.0,139224.0,0.0,292947.0
2011-08 ,0.0,445934.0,46160.0,32827.0,27971.0,0.0,189385.0,193934.0,0.0,0.0,818815.0,0.0,0.0,6294.0,232945.0,0.0,3258.0,1093508.0,0.0,37312.0,3685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168806.0,21061.0,199136.0,0.0,201582.0,0.0,177881.0,0.0,142093.0,0.0,317895.0
2011-09 ,0.0,473430.0,54993.0,37208.0,32190.0,0.0,193686.0,195970.0,0.0,0.0,907179.0,0.0,0.0,6153.0,258806.0,0.0,3251.0,1192492.0,0.0,42669.0,3759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185418.0,20423.0,220442.0,0.0,216847.0,0.0,187535.0,0.0,144964.0,0.0,331963.0
2011-10 ,0.0,481536.0,62760.0,40344.0,32867.0,0.0,196845.0,196678.0,0.0,0.0,952530.0,0.0,0.0,6049.0,268339.0,0.0,3348.0,1242669.0,0.0,42084.0,3981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153731.0,23220.0,231274.0,0.0,221542.0,0.0,189546.0,0.0,141195.0,0.0,343497.0
2011-11 ,0.0,463298.0,59507.0,38104.0,29154.0,0.0,196849.0,194329.0,0.0,0.0,933092.0,0.0,0.0,4247.0,245301.0,0.0,3494.0,1205104.0,0.0,34061.0,4018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155143.0,25490.0,223172.0,0.0,214892.0,0.0,199354.0,0.0,131876.0,0.0,343562.0
2011-12 ,0.0,421260.0,62760.0,33374.0,24464.0,0.0,196002.0,190012.0,0.0,0.0,821786.0,0.0,0.0,4257.0,208680.0,0.0,3444.0,1078040.0,0.0,21504.0,4018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142443.0,26652.0,200056.0,0.0,199281.0,0.0,198544.0,0.0,111556.0,0.0,327960.0
2012-01 ,0.0,372745.0,39680.0,27530.0,19896.0,0.0,176245.0,184624.0,0.0,0.0,660908.0,0.0,0.0,5677.0,167922.0,0.0,3607.0,907352.0,0.0,12970.0,4129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117703.0,25111.0,178718.0,0.0,176581.0,0.0,174662.0,0.0,82650.0,0.0,288652.0
2012-02 ,0.0,0.0,33879.0,21160.0,14548.0,0.0,133804.0,172290.0,0.0,0.0,461878.0,0.0,0.0,5100.0,108730.0,0.0,3700.0,729652.0,0.0,8995.0,4240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84978.0,21805.0,158667.0,0.0,140126.0,0.0,140786.0,0.0,45317.0,0.0,214321.0
2012-03 ,0.0,0.0,28424.0,16689.0,11677.0,0.0,109026.0,164358.0,0.0,0.0,305198.0,0.0,0.0,5639.0,67729.0,0.0,3642.0,632156.0,0.0,6824.0,4277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60065.0,21542.0,144516.0,0.0,110251.0,0.0,124294.0,0.0,25152.0,0.0,187630.0
